index,total_in_score,total_out_score,id,title,abstract
1,95,0,https://openalex.org/W3162040671,3D Concrete Printing Technology (2 vertices),"With the rapid development of computer-based 3D printing technology, the technology is widely used in all walks of life.[1] Based on the introduction of 3D printing technology, this paper introduces the development of 3D printing technology in the construction industry.The performance requirements of 3D printed concrete materials and the commonly used 3D printed building materials are introduced. Finally, the problems still existing in 3D printing construction technology are summarized and the development prospects are put forward."
2,95,0,https://openalex.org/W2944683004,3D Concrete Printing Technology (2 vertices),"Currently, 3D concrete printing technology is not yet able to print ready-mixed concrete with coarse aggregates. Based on an independently developed 3D printing construction equipment system and optimized concrete materials, a 3D concrete printer that can directly print ready-mixed concrete is developed. This paper introduces the whole 3D printing process for one power distribution substation in detail, including the printing equipment, key software, concrete preparation, printing process, and construction inspection. This investigation will provide valuable design and construction experience for the future construction of 3D concrete printing."
3,95,5,https://openalex.org/W4220904419,3D Food Printing Technology (6 vertices),"3D printing allows decentralization and localized production of foods when food printing enters into business trade with the globalization of 3D-printed foods. Most of the research works in the literature are focused on the system design and optimization of the printing process. However, only very few reports are available on the safety of 3D-printed foods. In this regard, the present chapter mainly discusses the safety aspects of 3D-printed foods, challenges, and research needs. Consumers have the right to know about the source and origin of food ingredients which cannot be overviewed when it comes to 3D-printed foods. Even though 3D printing delivers foods based on localized demand, it is crucial to provide proper labeling of 3D-printed foods. The storage stability of 3D-printed foods is equally important as that of the optimization of printability. The significance of postprocessing and end quality of 3D-printed foods are highlighted in this chapter. Thus, the sustenance of food printing relies on not only the technical development but also the practical implementation with societal and economic implications in the food supply and distribution chain. Various measures considered in preserving the storage stability, safety, and edibility of 3D-printed foods are discussed in context with food safety, labeling, legal framework, and regulation concerns. The present chapter envisages the practical challenges associated with the safety of 3D-printed foods and highlights a future outlook on measures to be undertaken in overcoming safety concerns to explore 3D food printing at the commercial level."
4,80,10,https://openalex.org/W3041905801,3D Food Printing Technology (6 vertices),"One of the major advantages of 3D food printing is the customizability in terms of structure, design, and nutritional content. However, printability of the ingredients and the quality of the 3D printed food products are dependent on several product and printing parameters. In this study, nutrient dense cookies were developed with underutilized ingredients including jackfruit seed powder and finger millet powder as base materials using 3D food printing. The hardness, rheological behavior, and microstructure of 3D printed cookies with different products (e.g., water butter ratio) and printing (e.g., fill density and temperature) parameters were analyzed. The 3D printed cookies were developed by extruding at 27 and 30 °C with fill density values of 50%, 70%, 90%, and 100% and water butter ratios of 3:10 and 6:5. The 3D-printed cookie dough exhibited a more elastic behavior with higher storage modulus values than the loss modulus. The hardness of the baked cookies was influenced by printing temperature, fill density, and water butter ratio of 3D printed cookie dough and their interactions. The closed porosity of 3D printed cookies increased while the open porosity decreased with an increase in fill density. The baking times required were longer for 3D-printed cookies with higher fill density values. Overall, this study shows the importance of considering the specific ingredient and printing parameters to develop high quality 3D-printed cookies."
5,75,0,https://openalex.org/W4283155347,3D Food Printing Technology (6 vertices),"3D food printing is an emerging technology that allows building of 3D food structures by layer-by-layer deposition following a digital design. Hitherto, most research related to 3D food printing focused on exploration of suitable recipes and optimal printing parameters for making custom-shaped 3D-printed foods, such as chocolates, cookies, cheese and vegetable pastes. Although the previous studies broadened the scope of 3D food printing applications, they did not provide rational guidelines to replace trial-and-error strategies during optimization of new 3D food printing applications by considering rheological properties of food materials suitable for printing. Moreover, most efforts focused on customization of the food design whereas 3D printing also had been suggested to allow preparation of foods with altered perceived taste and texture. The few studies that showed the impact of 3D printed food design on texture properties did primarily employ instrumental analysis while these should be complemented with sensory texture and mouthfeel perception. This study therefore aimed at understanding the relationships between material properties, printing conditions and physical properties of printed foods (Chapter 2 and 3), and how 3D food printing can be used to affect texture and taste perception of foods through modulating food structure (Chapter 4, 5 and 6)."
6,95,0,https://openalex.org/W3024889079,3D Food Printing Technology (6 vertices),"Three-dimensional printing can be successfully applied in the food sector to fabricate 3D foods with complex geometries, customized texture, and tailored nutritional contents. The concrete application of 3D printing to foods began in the early 2000 s. This work is aimed to provide a comprehensive overview of 3D printed foods. Details and issues concerning ingredients and technologies available for 3D food printing are supplied as well as the discussion of aspects such as nutritional values, safety, acceptability, sustainability, and legal framework of 3D printed foods.The main 3D food applications are based on the extrusion technology and concern natively printable materials such as cereal derivatives and chocolate. However, interesting applications concern alternative ingredients such as proteins and fibres isolated from insects, algae, microorganisms, and agri-food residues. Microbiological contamination and migration of toxic substances from printer elements can occur, but effective cleaning protocols and the use of materials authorized to come into contact with foods guarantee the necessary safety standards. A serious issue concerns acceptability of 3D printed foods, since it is greatly affected by their unusual appearance. From a legal point of view, 3D printed foods should be considered as “novel foods”. 3D food printing should be considered an opportunity for the development of new business strategies as well as a way to increase the food supply chain sustainability. The future perspectives of 3D food printing include the combination of 3D food printing and cooking on a single machine and the development of the 4D printing."
7,75,0,https://openalex.org/W2895042545,3D Food Printing Technology (6 vertices),"3D printing, also known as additive manufacturing, had been used in many fields, such as medicine, construction, automobile industries and so on. In recent years, 3D printing technology in food industry had developed rapidly, as with the diversification of the 3D printing forms. This paper introduced the working principle, application range, advantages and limitations, market application of the extrusion, powder binding and inkjet food 3D printing. Three food materials property related critical factors were suggested here for the rational design of 3D food structures: printability, applicability and post-processing. At present, the factors restricting the development of food 3D printing technology were the limitations and liquidity of printing materials, the printing speed, the stability of the printed model and so on. We suggest that it is urgent to strengthen the combination of food nutrition science with 3D printing and searching breakthroughs on personalized nutrition food manufacturing. We look forward to seeing a new revolution in the food intelligent manufacturing industry launch by 3D printing technology."
8,95,10,https://openalex.org/W4386170358,3D Food Printing Technology (6 vertices),"Recent advances in 3D printing technology have provided a new avenue for food manufacturing. However, one challenge in 3D printing food is the limited availability of printable materials that can mimic the properties of real food. This review focused on the various 3DFP methodologies, as well as the reinforcement of natural food gel for improving printing features in 3D printed food. Also covered is the use of hydrogel-based 3D printing in the development of 3D printed food. Different 3D printing techniques can be employed to print hydrogel-based inks, each with its advantages and limitations. 3D printing of food using hydrogel-based inks has potential for customized food products development. In summary, the utilization of hydrogel-based inks in 3D printing offers a promising avenue for the development of customized food products. Although there are still challenges to overcome, such as improving the printability and mechanical properties of hydrogel-based inks, the potential benefits of this technology make it an exciting area of research."
9,98,0,https://openalex.org/W2122372622,3D Printing Emerging Batteries (2 vertices),"The National Institutes of Health (NIH) has launched the NIH 3D Print Exchange, an online portal for discovering and creating bioscientifically relevant 3D models suitable for 3D printing, to provide both researchers and educators with a trusted source to discover accurate and informative models. There are a number of online resources for 3D prints, but there is a paucity of scientific models, and the expertise required to generate and validate such models remains a barrier. The NIH 3D Print Exchange fills this gap by providing novel, web-based tools that empower users with the ability to create ready-to-print 3D files from molecular structure data, microscopy image stacks, and computed tomography scan data. The NIH 3D Print Exchange facilitates open data sharing in a community-driven environment, and also includes various interactive features, as well as information and tutorials on 3D modeling software. As the first government-sponsored website dedicated to 3D printing, the NIH 3D Print Exchange is an important step forward to bringing 3D printing to the mainstream for scientific research and education."
10,95,10,https://openalex.org/W2982660856,3D Printing Emerging Batteries (2 vertices),"Abstract Additive manufacturing, i.e., 3D printing, is being increasingly utilized to fabricate a variety of complex‐shaped electronics and energy devices (e.g., batteries, supercapacitors, and solar cells) due to its excellent process flexibility, good geometry controllability, as well as cost and material waste reduction. In this review, the recent advances in 3D printing of emerging batteries are emphasized and discussed. The recent progress in fabricating 3D‐printed batteries through the major 3D‐printing methods, including lithography‐based 3D printing, template‐assisted electrodeposition‐based 3D printing, inkjet printing, direct ink writing, fused deposition modeling, and aerosol jet printing, are first summarized. Then, the significant achievements made in the development and printing of battery electrodes and electrolytes are highlighted. Finally, major challenges are discussed and potential research frontiers in developing 3D‐printed batteries are proposed. It is expected that with the continuous development of printing techniques and materials, 3D‐printed batteries with long‐term durability, favorable safety as well as high energy and power density will eventually be widely used in many fields."
