index,total_in_score,total_out_score,id,title,abstract
1,95,0,https://openalex.org/W3005852593,Additive Manufacturing Across Materials (7 vertices),"Cermets are a category of materials including ceramic and metallic phases, which possess the combined properties of both phases. Over the last few decades, numerous conventional processes such as powder metallurgy techinques and casting have been proposed for the fabrication of cermet components. In recent years, additive manufacturing (AM) has emerged as a promising method that can eliminate most of the limitations of conventional production methods. Among AM processes, selective laser sintering/melting (SLS/SLM), laser engineering net shaping (LENS), direct laser fabrication (DLF), binder jet 3D printing, and 3D gel/direct-ink-write/robocasting printing have been investigated for manufacturing bulk cermet parts. This study presents a summary of research that has been conducted to produce bulk cermets by additive manufacturing."
2,75,10,https://openalex.org/W3088917223,Additive Manufacturing Across Materials (7 vertices),"Abstract Additive manufacturing technology has attracted unprecedented attention in industry because it provides infinite possibilities for rapid prototyping and enormous potential and opportunities for the production of electronic devices of various complex shapes. This paper focuses on the progress of additive manufacturing of piezoelectric materials in recent years, summarizing the advantages of additive manufacturing technology and its technical impact on the production of piezoelectric materials. It identifies the likely future research development direction of additive manufacturing technology, as well as the limitations of the current additive manufacturing technology in the context of piezoelectric materials. First, the various processes involved in additive manufacturing of piezoelectric devices and the impact of various processes on device performance are systematically summarized. Then, the development of additive manufacturing technology and slurry preparation of piezoelectric ceramic materials, piezoelectric polymer materials, and piezoelectric composites are introduced. Finally, the technical difficulties and potential research directions associated with additive manufacturing of piezoelectric materials are discussed. With the continuous development of additive manufacturing technology and piezoelectric materials, additive manufacturing of piezoelectric devices with excellent performance, high energy storage density, and high electromechanical conversion efficiency will be applied in a wider range of fields in the future."
3,1,10,https://openalex.org/W4213364330,Additive Manufacturing Across Materials (7 vertices),"Additive technologies over the past two decades have formed a technological innovation segment of mechanical engineering: world markets for technologies, equipment have been formed, large-scale research and development work is being carried out, standards for product certification are being developed. The article discusses additive technologies and their definition. The main types of these technologies and their classification are understood. Conclusions on positive and negative aspects of each technology are formed."
4,10,0,https://openalex.org/W3201541387,Additive Manufacturing Across Materials (7 vertices),In this review the authors provide a comprehensive insight into additive manufacturing process mechanics which explore how thermodynamics give rise to characteristic microstructure and property. Discussion is then given over to how solidification microstructure is modified using processing conditions and utilisation of traditional casting methods which give rise to grain refinement and some cases ‘texture by design’. The review then makes observation and provides analysis on the typical material types reported in powder bed fusion and directed energy deposition. These are organised to efficiently highlight the key observations in terms of alloy creation and adaption with a specific focus on the relevant additive manufacturing technique. The emergent alloy families are also explored alongside the rapidly expanding topic of functionally graded alloys produced by the breadth of additive manufacturing techniques. The review concludes with a detailed critique of the state-of-the-art and an examination of where opportunities exist to advance the interdependency between process and emergent alloys exhibiting superior properties. The authors propose several areas worthy of consideration and attempt to provide inspiration for our community in the pursuit of new alloys and accompanying process designs for additive manufacturing.
5,50,20,https://openalex.org/W3196290027,Additive Manufacturing Across Materials (7 vertices),There are considered two basic additive technologies for metal powder parts growing – selective laser melting and coaxial laser melting.
6,80,80,https://openalex.org/W4211128537,Additive Manufacturing Across Materials (7 vertices),"Polymers are one of the most commonly used material categories utilized in fabricating various components in order to use in different applications. Many conventional methods have been applied for manufacturing the polymer-based structures, but additive manufacturing (AM) as a new method brought several key advantages like cost-effectiveness and the capability of fabricating complicated parts with high accuracy. However, because of naturally inferior mechanical characteristics of the parts printed with monolithic polymers, developing printable polymer composites with high performance is required. So, progress in additively manufactured polymeric composites can be an effective step in various industrial applications. This article aims to overview on AM methods of polymeric composite materials such as stereolithography (SLA), selective laser sintering (SLS), fused filament fabrication (FFF), fused deposition modeling (FDM), and binder jetting (BJ). Besides the properties of 3D printed polymeric composites, potential applications in biomedical, automotive, and aerospace industries, advantages, drawbacks, and future trends are discussed."
7,95,0,https://openalex.org/W3041714707,Additive Manufacturing Across Materials (7 vertices),"The paper presents comparative schemes of classical production of complex products and their manufacturing with using additive technologies, including the main positive and negative aspects of using additive technologies. The article listes the main technologies of additive manufacturing of products, indicating the specifics of their application. The paper describes the methods of production and properties of powder materials. The spheroidization technology of powder materials and its post-processes is described. The article presents the concept of full cycle additive manufacturing. The basic software packages for modeling the processes of additive production of products from various metal systems are presented."
8,75,10,https://openalex.org/W2904494268,Additive Manufacturing in Medicine (12 vertices),"Additive manufacturing (AM), commonly known as 3D printing (3DP), and other technology using 3D bioprinting techniques have been used in medical applications for more than 10 years. Currently the primary use of AM in orthopedics is production of implants for total joint arthroplasties. These implants are not individually personalized but use an average bony morphology to develop sizes to fit patients in certain categories. Although the use of AM to produce a personalized arthroplasty implant is somewhat limited by materials and in some cases by a lengthy postprocessing window, the use of AM is estimated to grow at an annual rate of nearly 16% by 2020. Custom-made patient-specific instruments and implants may produce better outcomes in patients with abnormal anatomy, complex fractures, or neoplasms for whom traditional manufacturing methods are unable to produce an implant. Also, in the future, if scaffolds with cellular products can be fashioned using bioprinting methods, then exact surface morphometry may be produced for a biologic implant and resurfacing of the joint. The next technological leap in 3DP for arthroplasty may actually come from bioprinting. The use of collagen matrices is now possible using current bioprinting technology as well as the combination of different cell types cultured from the patient, and then biologic resurfacing may be realized. If imaging technologies can be used to construct patient-specific articular cartilage geometry with articular cartilage cells cultured from the patient, then true biologic 3D-printed resurfacing may be realized in the next few decades."
9,99,0,https://openalex.org/W2904747112,Additive Manufacturing in Medicine (12 vertices),"Additive manufacturing (AM) can obtain not only customized external shape but also porous internal structure for scaffolds, both of which are of great importance for repairing large segmental bone defects. The scaffold fabrication process generally involves scaffold design, AM, and post-treatments. Thus, this article firstly reviews the state-of-the-art of scaffold design, including computer-aided design, reverse modeling, topology optimization, and mathematical modeling. In addition, the current characteristics of several typical AM techniques, including selective laser sintering, fused deposition modeling (FDM), and electron beam melting (EBM), especially their advantages and limitations are presented. In particular, selective laser sintering is able to obtain scaffolds with nanoscale grains, due to its high heating rate and a short holding time. However, this character usually results in insufficient densification. FDM can fabricate scaffolds with a relative high accuracy of pore structure but with a relative low mechanical strength. EBM with a high beam-material coupling efficiency can process high melting point metals, but it exhibits a low-resolution and poor surface quality. Furthermore, the common post-treatments, with main focus on heat and surface treatments, which are applied to improve the comprehensive performance are also discussed. Finally, this review also discusses the future directions for AM scaffolds for bone tissue engineering."
10,0,0,https://openalex.org/W2978990261,Additive Manufacturing in Medicine (12 vertices),"High-throughput fabrication techniques for generating arbitrarily complex three-dimensional structures with nanoscale features are desirable across a broad range of applications. Two-photon lithography (TPL)-based submicrometer additive manufacturing is a promising candidate to fill this gap. However, the serial point-by-point writing scheme of TPL is too slow for many applications. Attempts at parallelization either do not have submicrometer resolution or cannot pattern complex structures. We overcome these difficulties by spatially and temporally focusing an ultrafast laser to implement a projection-based layer-by-layer parallelization. This increases the throughput up to three orders of magnitude and expands the geometric design space. We demonstrate this by printing, within single-digit millisecond time scales, nanowires with widths smaller than 175 nanometers over an area one million times larger than the cross-sectional area."
