index,total_in_score,total_out_score,id,title,abstract
1,10,10,https://openalex.org/W4220810237,Advancements in Drone Technology (12 vertices),"Railroad track fasteners are used to connect rail components together. Control of fasteners is great importance for travel safety. Missing, broken or deformed fasteners should be detected and repaired. In this study, a new method for fault detection is proposed by using a dataset consisting of railway images recorded using an autonomous drone. In deep learning, which has the potential of self-learning from the available data, the most important factor affecting model performance is data. In this study, obtaining the rail fastener images with an autonomous drone has provided an advantage compared to the existing studies in the literature. Deep learning training was conducted with Vgg16 and ResNet101V2, which are transfer learning models, in order to determine the faults caused by the lack of fasteners. The performances of the trained models in detecting faultless and missing/faulty fasteners were compared. In the results obtained, it was seen that the training made using the ResNet101V2 model with 99&#x0025; accuracy produced results with higher accuracy."
2,85,0,https://openalex.org/W4387444587,Advancements in Drone Technology (12 vertices),"Facilitating obstacle avoidance for autonomous drones (UAVs) is a key problem of their safe movement, including indoor applications. The complexity of this problem increases when a large group or a swarm of drones implementing coordinated movement is concerned. In this scenario, there can be problems with the standard methods, such as the potential field method. The jamming effect that occurs when a drone cannot efficiently bypass an obstacle on its way to the destination is the most widespread problem. This paper suggests an approach that uses a hybrid algorithm combining the standard potential field and the curl-free vector field. For the sake of brevity, the authors only review the fixed obstacle scenario. The usage of the curl-free vector field component can help remove the jamming effect during swarm movement. The theoretical analysis of stability is performed using Lyapunov’s direct method. To test the effectiveness of the approach, the authors used modeling in MATLAB/Simulink."
3,2,0,https://openalex.org/W4229007520,Advancements in Drone Technology (12 vertices),"Aerial robots are widely deployed, but highly cluttered environments such as dense forests remain inaccessible to drones and even more so to swarms of drones. In these scenarios, previously unknown surroundings and narrow corridors combined with requirements of swarm coordination can create challenges. To enable swarm navigation in the wild, we develop miniature but fully autonomous drones with a trajectory planner that can function in a timely and accurate manner based on limited information from onboard sensors. The planning problem satisfies various task requirements including flight efficiency, obstacle avoidance, and inter-robot collision avoidance, dynamical feasibility, swarm coordination, and so on, thus realizing an extensible planner. Furthermore, the proposed planner deforms trajectory shapes and adjusts time allocation synchronously based on spatial-temporal joint optimization. A high-quality trajectory thus can be obtained after exhaustively exploiting the solution space within only a few milliseconds, even in the most constrained environment. The planner is finally integrated into the developed palm-sized swarm platform with onboard perception, localization, and control. Benchmark comparisons validate the superior performance of the planner in trajectory quality and computing time. Various real-world field experiments demonstrate the extensibility of our system. Our approach evolves aerial robotics in three aspects: capability of cluttered environment navigation, extensibility to diverse task requirements, and coordination as a swarm without external facilities."
4,50,10,https://openalex.org/W2792238983,Advancements in Drone Technology (12 vertices),"In this paper, we propose a drone assisted radio access networks architecture in which drone-cells are leveraged to relay data between base stations and users. Based on the state-of-the-art drone-to-user and drone-to-base station (D2B) channel models, we first analyze the user coverage and the D2B backhaul connection features of drone-cells. We then formulate the 3-D drone-cell deployment problem with the objective of maximizing the user coverage while maintaining D2B link qualities, for a given number of drone cells being deployed. To solve the problem, the particle swarm optimization (PSO) algorithm is leveraged for its low computational cost and unique features suiting the spatial deployment of drone-cells. We propose a per-drone iterated PSO (DI-PSO) algorithm that optimizes drone-cell deployments for different drone-cell numbers, and prevents the drawbacks of the pure PSO-based algorithm derived from related works. Simulations show that the DI-PSO algorithm can achieve higher coverage ratio with less complexity comparing to the pure PSO-based algorithm."
5,80,10,https://openalex.org/W3003469077,Advancements in Drone Technology (12 vertices),"Indoor positioning and navigation inside an area with no GPS-data availability is a challenging problem. There are applications such as augmented reality, autonomous driving, navigation of drones inside tunnels, in which indoor positioning gets crucial. In this paper, a tandem architecture of deep network-based systems, for the first time to our knowledge, is developed to address this problem. This structure is trained on the scene images being obtained through scanning of the desired area segments using photogrammetry. A CNN structure based on EfficientNet is trained as a classifier of the scenes, followed by a MobileNet CNN structure which is trained to perform as a regressor. The proposed system achieves amazingly fine precisions for both Cartesian position and quaternion information of the camera."
6,0,0,https://openalex.org/W4285809760,Advancements in Drone Technology (12 vertices),"Abstract We present a simple computer simulation model for the interaction of automatic guns with unarmed drones. Each drone is represented as a rigid body that consists of several simple bodies such as parallelepipeds, ellipsoids, etc. The simplified spatial trajectory of the drone is constructed using third-order Bezier curves. A relatively large group of unconnected drones may be simulated in a computationally fast way using this method. Automatic guns are agents that are shooting at drones with a single of burst fire relative to the ideal aiming point. We performed a simulation of the flight of several drones against several automatic guns for different conditions. As a result of this simulation, the spatial distribution of the drone hit probabilities, the special distribution of the fraction of defeated drones depending on the number of guns, and the influence of urban obstacles on the fraction of drones defeated are presented."
7,80,0,https://openalex.org/W2979646545,Advancements in Drone Technology (12 vertices),"Indoor positioning and navigation inside an area with no GPS-data availability is a challenging problem. There are applications such as augmented reality, autonomous driving, navigation of drones inside tunnels, in which indoor positioning gets crucial. In this paper, a tandem architecture of deep network-based systems, for the first time to our knowledge, is developed to address this problem. This structure is trained on the scene images being obtained through scanning of the desired area segments using photogrammetry. A CNN structure based on EfficientNet is trained as a classifier of the scenes, followed by a MobileNet CNN structure which is trained to perform as a regressor. The proposed system achieves amazingly fine precisions for both Cartesian position and Quaternion information of the camera."
8,10,0,https://openalex.org/W4225322325,Advancements in Drone Technology (12 vertices),"Detecting and repairing faults in railway line components is of great importance in terms of transportation safety. Thanks to the successful results of deep learning techniques on images, progress has been made in defect detection studies. In this study, Mask R-CNN architecture, which enables segmentation in deep learning, was used to identify healthy and missing rail fasteners. Healthy and missing fasteners were labeled in the railway images obtained with the autonomous drone. The model was trained using labeled data and the performance of the model was evaluated with the data reserved for testing. It was determined that the method could detect healthy/missing fasteners with high accuracy rates and it was shown in the experimental results section. The precision value of the method is saved as 98% and the recall value as 96%."
9,1,0,https://openalex.org/W2773228868,Advancements in Drone Technology (12 vertices),"Data assurance and resilience are crucial security issues in cloud-based IoT applications. With the widespread adoption of drones in IoT scenarios such as warfare, agriculture and delivery, effective solutions to protect data integrity and communications between drones and the control system have been in urgent demand to prevent potential vulnerabilities that may cause heavy losses. To secure drone communication during data collection and transmission, as well as preserve the integrity of collected data, we propose a distributed solution by utilizing blockchain technology along with the traditional cloud server. Instead of registering the drone itself to the blockchain, we anchor the hashed data records collected from drones to the blockchain network and generate a blockchain receipt for each data record stored in the cloud, reducing the burden of moving drones with the limit of battery and process capability while gaining enhanced security guarantee of the data. This paper presents the idea of securing drone data collection and communication in combination with a public blockchain for provisioning data integrity and cloud auditing. The evaluation shows that our system is a reliable and distributed system for drone data assurance and resilience with acceptable overhead and scalability for a large number of drones."
10,0,0,https://openalex.org/W4319864377,Advancements in Drone Technology (12 vertices),"The paper considers problem of the attacking drone avoiding interception at the final stage of its flight. Duration of this stage is a few seconds. Drones are flying to the target, explode and die. The literature traditionally considers the attack and the anti-aircraft drones independently. It is proposed to identify the attacking and the anti-aircraft drones as a single oscillatory system with the antagonistic components. Antagonistic components are connected using the non-Newtonian elastic element. Test game with a high-explosive drone, test game with a fragmentation drone and 2D salvo game were considered. The game in this case is not a traditional minimax optimization problem, but appears to be simulation of the compromise unstable motion mode. Salvo of three attack drones in the 2D games is aimed against three stationary targets. Anti-aircraft salvo includes two high-explosive and two fragmentation drones. The attacking drones “know nothing” about the anti-aircraft target distribution; thus, each of them “avoids” the anti-aircraft drones simultaneously. One operator is playing. Therefore, the game has only two parameters, i.e. two different stiffness coefficients of any non-Newtonian elastic element. The non-Newtonian oscillatory system under study is non-oscillatory. There are violations of the well-known oscillation theorems of the oscillations theory: with the increasing rigidity, the system oscillation frequency drops, the oscillation forms acquire additional nodes, etc."
