index,total_in_score,total_out_score,id,title,abstract
1,100,0,https://openalex.org/W2135120120,Analyzing Textile Composite Materials (45 vertices),Let us consider textile composite materials which are most widely used in structures working under high temperatures.
2,100,0,https://openalex.org/W4251659643,Analyzing Textile Composite Materials (45 vertices),"The six-level structure for a textile composite material is considered, and mathematical models and calculation methods for mechanical and thermal properties of textile composites are suggested. Computed results and corresponding experimental data are shown for different types of matrices and fibres of ablative textile composites under heating with different rates (up to 3000 K). In addition, the following different types of destruction of textile composites at normal and high temperatures are described: the breakage of fabric threads laid in one of the reinforcing directions; the loss of stability of threads laid in one of the reinforcing directions; delamination of a composite; cracking under transverse compression. The corresponding failure criteria are suggested."
3,1,1,https://openalex.org/W3190378040,Composite Materials and Applications (39 vertices),This paper is and introduction to composite materials CM. We tried to be simple in our explanation about CM and tried to give the most necessary knowledge to introduce the reader to the amazing word of composites.
4,0,1,https://openalex.org/W4361990631,Composite Materials and Applications (39 vertices),"This article is devoted to the study of the relationship between materials and ergodesign with various attributes. Examples of experimental research demonstrating the possibilities of using materials, along with other design and ergonomics tools, are given. The article describes the history of the development of Russian design and ergonomics as stages of the creation of the theory and methodology of ergodesign. The trends of formation and new developments in this area are considered. It is concluded that the creation of new objects of the subject world and systems cannot be carried out without integrated design activities with the introduction of the achievements of ergodesign, which is an innovative technology of integrated design. The article also responds to the problem, because of which the concept of ergodesign was adopted, namely the rapid development of technology without taking into account the needs and characteristics of a person. The urgency of the research is due to the rapid development of technologies that impose new requirements on various design products. This also applies to materials that are the basis of any material form, and from the point of view of innovative design, they must have unique properties, ensuring high-quality human activity at a new higher level."
5,0,0,https://openalex.org/W3123300812,Composite Materials and Applications (39 vertices),"Caries is the pathological process of hard tissue demineralization in teeth caused by various factors. As a result, necrotic areas within the tooth are formed that require removal and subsequent reconstruction in order to re-establish tooth function. This is achieved by replacing the demineralized areas with dental filling materials. With a wide variety of available dental filling materials, the dentist is faced with the task of choosing the correct material depending on the nature of the lesion. To date, the most widely used permanent filling materials are composites, which constitute one of the largest groups of filling materials. They gained their popularity due to their numerous good qualities, and the continuous research within the field of dental materials enables further improvement of their properties. Currently, a new composite has appeared in dentistry, which helps to neutralize the salivary pH during acidosis, thereby preventing the development of dental caries"
6,1,0,https://openalex.org/W2993986999,Composite Materials and Applications (39 vertices),"Modern global trends show the preferred low-rise construction, even in large cities. Lightweight concrete is the most common material for low-rise construction. Existing lightweight concrete with the wood residues addition have several disadvantages due to the properties of the aggregate. In the southern regions of Russia, walnut grows in large quantities. Only a small part of the shell is processed, the rest is buried in the ground or burned. The proposed aggregate from crushed walnut shell has several advantages compared to the traditional natural organic fillers: low water demand and decay, high strength. The nutshell in the composition has sugars, which are the cement poisons, there are no data in the literature on the crushed shell technical characteristics. Thus, it is required to determine the crushed shell technical characteristics, to choose a processing method reducing the water-soluble sugars amount in the shell, to select the lightweight concrete composition, ensuring its optimal characteristics. The new kind of lightweight concrete will have characteristics different from existing analogues."
7,95,0,https://openalex.org/W2988242367,Composite Materials and Applications (39 vertices),"Nowadays aerospace engineering is changing. Aeroplanes have usually been made out of metal – alloys of aluminium as a rule. However engineers are increasingly working with carbon fiber composites now. This is due to the fact that alloys do not offer substantial weight savings, which is a primary advantage of composites. Indeed, advanced composites have been used most widely where saving mass results in either significantly improved performance or significantly lower life-cycle costs. The most extensive application, therefore, has been in satellite systems, military aircraft, helicopters, commercial transport aircraft, and general aviation"
8,1,0,https://openalex.org/W4361199318,Composite Materials and Applications (39 vertices),"The work is devoted to the study of physical and mechanical processes occurring during the processing of modified and filled etheretherketone, and the development of a composite material with high performance properties. The effect of co-polyarylethyrketone and glass and carbon fibers on the properties of polyetheretherketone is shown. The critical length of reinforcing fibers is calculated. The effect of the heat annealing process on the properties of the obtained compositions of different compositions has been revealed."
9,1,0,https://openalex.org/W4389167302,Composite Materials and Applications (39 vertices),"This chapter focus on the synthesisSynthesis, analysis and modeling of composite materialsComposite materials used in ballistic applicationsBallistic applications. In this context, a brief introduction is made on the summary of ballisticsBallistics and threat typesThreat types in personal ballisticsBallistics. The main components of the compositesComposite including fiberFiber types and fabric structuresFabric structures are described in detail. Then, the ballistic impact mechanismsBallistic impact mechanisms for textile and composite materialsComposite materials are discussed with failureFailure mechanisms that occurred in the ballistic testsBallistic test. Additionally, numerical simulationNumerical simulation techniques and material models for ballisticBallistics fabrics and compositeComposite structuresStructure are presented with corresponding literature published in the last five years. Finally, final trends such as bio-inspired structuresStructure and adding novel soft energyEnergy absorbing materials into the ballisticBallistics structuresStructure are exemplarily offered."
10,1,1,https://openalex.org/W2992883524,Composite Materials and Applications (39 vertices),"The aim of the work is to study the ways to strengthen the elements of the parametric architecture object framework based on the use of the new materials. The problem of strengthening the elements of the building frame is particularly relevant in connection with the development of the parametric architecture. Unlike the traditional methods of regulation and amplification, composite materials allow to change the stress-strain state and improve the dynamic characteristics of the parametric architecture object without increasing its own structures weight. The studies were performed using numerical simulation by the finite element method. Recommendations are given on the use of the physical and mechanical properties of the composite materials when strengthening the building framework."
