index,total_in_score,total_out_score,id,title,abstract
1,75,0,https://openalex.org/W2971000640,Advances in Missile Technology (42 vertices),"In this paper, guidance law is selected as desired flight path angle that derived from the sliding mode control method. The back-stepping technique is designed and analyzed for the altitude dynamics of hypersonic missile for maneuvering target. Hypersonic missile model is nonlinear, non-minimum phase, uncertain, and highly coupled. Takagi-Sugeno fuzzy estimator is used for estimating the uncertainty of model parameters. Lyapunove theorem is used to examine the stability of closed-loop systems. The simulation indicate that the proposed scheme has shown effectiveness of the control strategy, high accuracy, stability of states, and low-amplitude control inputs in the presence of uncertainties and external disturbance."
2,85,0,https://openalex.org/W2989851323,Advances in Missile Technology (42 vertices),"In this paper, we propose a back-stepping controller scheme for the altitude subsystem of hypersonic missile of which model is nonlinear, non-minimum phase, uncertain, and highly coupled. In the scheme, the guidance law is selected as a desired flight path angle that derived from the sliding mode control method. The back-stepping technique is designed and analyzed for the altitude dynamics of hypersonic missiles for maneuvering targets. Additionally, the algorithm of adaptive neuro-fuzzy inference system (ANFIS) is used for estimating the uncertainty of model parameters and Lyapunove theorem is used to examine the stability of closed-loop systems. The simulation indicates that the proposed scheme has shown effectiveness of the control strategy, high accuracy, stability of states, and low-amplitude control inputs in the presence of uncertainties with external disturbance."
3,0,1,https://openalex.org/W3171709164,Advances in Missile Technology (42 vertices),"One of the key points for the development of hypersonic airbreathmg propulsion is the mastery of fueled-cooled composite materials structures which are needed for realizing the combustor of a dual-mode ramjet operating up to Mach 8 or more. Very limited activities have been led by EADS France and SNECMA on this subject during the PREPHA program with basic test performed at ONERA. In the same time, EADS France developed a carbon/carbon hydrogen cooled injection strut, which has been successfully tested in CHAMOIS scramjet chamber. By another way, the cooperation led by EADS Aerospatiale Matra Missiles (EADS-AMM) and the Moscow Aviation Institute for developing a fully variable geometry dual mode ramjet was also an opportunity to acquire a large know-how in the field of fuel-cooled structures. Beyond these first steps, EADS-AMM and EADS Launch Vehicles (EADS-LV) are now working on the development of an innovative technology for fueledcooled combustor structures taking advantage of EADS-LV mastery of specific weaving process for manufacturing composite materials. By comparison with the « classical » technology of assembled cooled panels, this technology will allow to limit the connecting problems, improve the mechanical characteristics and reduce the mass and the cost. The PTAH-SOCAR technology was the subject of a first successful hot test in the MAI test facility. A followon experimental program should complete the demonstration of the fuel-cooled panel technology feasibility while a preliminary design of a PROMETHEE combustion chamber should allow to precisely evaluate its interest from the point of view of the system conception. Copyright © 2001 by EADS Aerospatiale Matra Missiles and EADS Launch Vehicles. Published by the American Institute of Aeronautics and Astronautics, Inc, with permission. Introduction EADS Aerospatiale Matra Missiles (EADS-AMM) has been a major contributor, beside ONERA, to the National Research and Technology Program for Advanced Hypersonic Propulsion PREPHA (Ref[1]). Within the scope of this program, EADS-AMM acquired a first know-how in scramjet and dual-mode ramjet components design and hypersonic airbreathing vehicle system studies. On this base, the present activity, led in cooperation with ONERA, is mainly focused on the development of the dual mode ramjet technology (Ref[1] and [2]). From the point of view of materials, the major technological difficulty for the development of hypersonic airbreathing vehicles, powered by dualmode ramjet or scramjet, is to design and realize the structure of the combustion chamber. Indeed, the combustion chamber and the fuel injection and/or flame stabilization systems, possibly placed in the flow, must be able to sustain a rarely so severe thermomechanical environment. Moreover, it is possible that the operational use of the airbreathing propulsion on a very large range of Mach number (Mach 2 to Mach 8 for military application, at least Mach 2 to Mach 10 for space launcher application) will imply a variable geometry for the combustion chamber. It supposes to have on disposal structures with sufficiently controlled geometry to ensure tightness between movable and fixed surfaces of the chamber. By another way, working at high wall temperature limits the thermal loading, particularly during a high-speed cruise phase. That is very favorable for military application if we consider the limited cooling capacity of a hydrocarbon fuel even if it is endothermic. That is also very favorable for space launcher application (with hydrogen as fuel) for extending at the maximum the use of the installed airbreathing propulsion system. Finally, having large design margin allows to use relatively low cost cooling systems while ensuring good reliability and safety characteristics. c)2001 American Institute of Aeronautics & Astronautics or Published with Permission of Author(s) and/or Author(s)' Sponsoring Organization."
4,0,0,https://openalex.org/W3147730670,Advances in Missile Technology (42 vertices),"The paper focuses on the problem of calculating the approximate ballistic missile trajectory, the calculation ensuring that the missile travels from a given launch point to the finish point and covering the entire range rate for the missiles of the type considered. The missile trajectory is defined by a system of nonlinear differential equations. A different range is achieved by changing the initial values of the flight-path angle and the operating time of the missile stages. Due to the physical significance, these variables are constrained. The problem of multidimensional conditional minimization by the method of barrier functions with minimization of Nelder - Meed method"
5,3,10,https://openalex.org/W854224096,Advances in Missile Technology (42 vertices),"The drag force of hypersonic vehicles and missiles makes a great difference to their final performance and hence to their design process. A drag reduction strategy has been proposed and investigated numerically in the current study, namely the combinational opposing jet and aerospike concept, and the influences of length-to-diameter ratio of aerospike and jet pressure ratio on the drag reduction mechanism have been evaluated. The predicted results have been compared with the available experimental data in order to validate the numerical approach, and the grid independency analysis has been conducted as well. The obtained results show that the numerical results show good agreement with the ground experimental data, and the grid scale has only a slight impact on the numerical results. The drag reduction coefficient increases with the increase of the length-to-diameter ratio of aerospike and the jet pressure ratio, and the maximum drag reduction coefficient deceases with the increase of the jet pressure ratio. The maximum drag reduction coefficient is 65.02%, and it occurs when the jet pressure ratio is 0.4. The peak pressure location moves nearly from 40° to 55°, and it is nearly the same irrespective of the variation of the jet pressure ratio."
6,0,10,https://openalex.org/W2089617235,Advances in Missile Technology (42 vertices),"Currently, missile and artillery air defense system under the conditions of the network has become a very important air defense weapon system, and play an unprecedented role in modern warfare process. To develop high damage performance missile and artillery air defense system has become common goal. It is necessary to study the impact of missile and artillery air defense system damage performance for improving damage probability of missile and artillery air defense system."
7,1,1,https://openalex.org/W3017669627,Advances in Missile Technology (42 vertices),"The research that will be discussed in this research is the making of fluid flow simulations that pass the surface of the missile using CFD software. This research was conducted to determine the aerodynamic characteristics of the missiles described in the form of simulations. In this research, observations were made on the form of SCUD missiles. Because there is no specific geometry and image of this SCUD missile, the researchers tried to make observations, depictions and modifications to their geometry in the CATIA program. Process of research consist of initial study phase, and CFD simulation phase. The output and parameters of this research that are to be seen are pressure contours, velocity contours, lift and drag, which in each parameter is carried out by angle of attack α of 0°, 5°, 10°, and 15°. The nature of the air flow around the missile when simulated has different characteristics of velocity and pressure in each variation α given. The change in α is directly proportional to the value of pressure. The speed value changes relative to each change α."
8,3,0,https://openalex.org/W2611732205,Advances in Missile Technology (42 vertices),"A missile warning system can detect the incoming missile threat(s) and automatically cue the other Electronic Attack (EA) systems in the suit, such as Directed Infrared Counter Measure (DIRCM) system and/or Counter Measure Dispensing System (CMDS). Most missile warning systems are currently based on passive sensor technology operating in either Solar Blind Ultraviolet (SBUV) or Midwave Infrared (MWIR) bands on which there is an intensive emission from the exhaust plume of the threatening missile. Although passive missile warning systems have some clear advantages over pulse-Doppler radar (PDR) based active missile warning systems, they show poorer performance in terms of time-to-impact (TTI) estimation which is critical for optimizing the countermeasures and also “passive kill assessment”. In this paper, we consider this problem, namely, TTI estimation from passive measurements and present a TTI estimation scheme which can be used in passive missile warning systems. Our problem formulation is based on Extended Kalman Filter (EKF). The algorithm uses the area parameter of the threat plume which is derived from the used image frame."
9,1,0,https://openalex.org/W2743156672,Advances in Missile Technology (42 vertices),"Guidance and control laws of  anti-tank missile are recorded in a missile subsystem called flight computer. The flying missile diagnoses the right path using these laws(guidance) and gives essential orders according to them to put the missile in its right path(control). like all real systems, the performance of this subsystem may be perturbed by different reasons leading to a derivative of reasonable functions. In this paper, after identifying15 important ones of these reasons, their effects on missile miss distance which is a measurable and appropriate factor is investigated. In the guidance of this anti-tank missile, pure proportional navigation guidance law is used. The main focus of this paper is on analyzing effect of errors on this law. Finally, the intensity of these reasons on miss distance rate are presented by column diagrams."
10,0,0,https://openalex.org/W2601418907,Advances in Missile Technology (42 vertices),"In this paper, Multi Input-Multi-Output (MIMO) radar and Anti-Radiation Missiles (ARMs) engagement is modeled using game theory. In this game, each player (radars and missiles) tries to maximize his payoff in Nash equilibrium point. In this paper, for simplification and better understanding, simplified model of 2 radars and 2 missiles engagement in three time steps is investigated at first, In which, it is assumed that radars are not turned on and off simultaneously, and the missiles do not attack the same radar at the same time. Then, model of 2 radars and 2 missiles engagement in three time steps with elimination of aforementioned assumptions is considered, and the simulation results are provided and investigated. Finally, the general form of MIMO Radar and ARM Missiles engagement modeling (r number of radars and m number of missiles) in n time steps, using game theory is investigated and discussed. In this general form investigation, the influence of time step enhancement, radar enhancement, and missile enhancement on the modelling is addressed, separately. In this paper, MATLAB software is utilized for the system modeling and simulation."
