index,total_in_score,total_out_score,id,title,abstract
1,10,0,182,Baseball and Technical Discussions (17 vertices),": I need to know the Pins to connect to make a loopback connector for a serial
: port so I can build one.  The loopback connector is used to test the 
: serial port.
: 
: Thanks for any help.
: 
: 
: Steve
: 
Me Too!!!!!!!
skcgoh@tartarus.uwa.edu.au
"
2,0,0,208,Baseball and Technical Discussions (17 vertices),"
This is the one part that really scares me. Without
the keys, it can likely be determined if a person
is using the ""State Approved"" encryption method,
and if not then that persons life is forfet, and
the profits go to making more busts, and more 
profit. 

""Power corrupts. Absolute power corrupts absolutely.""
Human nature has not changed very much in only a few
hundred years....
"
3,100,0,324,Baseball and Technical Discussions (17 vertices),"San Mateo Duplex houses for sale:

	West side location, Alameda and HWY 92. large lot 55X140. Nice
	quiet location, No front neighbor, space for pool or jacuzzi.
	spacious rooms, cozy living room with fireplace. Only minutes
	from highways 280 and 92 and 101. Excellent schools, shopping
	and transportation nearby.

	 
	Unit one:  "" Remodeled ""  2100 SQ foot
		3 bedrooms	2 baths		Large master suite
		Den/study	Eat in Kitchen	Very large Backyard
		Fenced backyard	Hardwood floor	Wall to wall carpet
		Marbel/tile/vinyl		2 car garage
		car port	Washer and dryer hook up
		Living room dinning combo	totally remodeled



	Unit two:   "" BRAND NEW CONSTRUCTION "" 645 SQ Foot
		1 bedroom	1 bath		Fire place 
		Dinning room	Private yard 	Private entry
		detached unit	Washer & dryer	Living room
		Barbeque patio	All separet Utilities from the city

	Price $468,500   ( By Owner )

	Call Medi Amadi at   510-601-1525   eves
			     510-823-3366   days	
			
"
4,50,0,345,Baseball and Technical Discussions (17 vertices),"The 1992-93 Davis Tabletop Baseball League's regular season has concluded, and the league is seeking votes for the MVP and CY award winners. Voters are asked to rank their top five candidates for each award. The MVP candidates are listed, along with their detailed statistics, including games played, at-bats, hits, home runs, runs, RBIs, and defensive performance. Similarly, the CY candidates are listed with their ERA, wins, losses, saves, innings pitched, and other pitching statistics. The article also mentions notable pitching achievements from the season, such as Curt Schilling's perfect game and Ken Hill's no-hitter. Voters are encouraged to respond by April 10th, and additional player statistics are available upon request."
5,100,0,446,Baseball and Technical Discussions (17 vertices),"
Not even in sub panels!  The only place the neutral should be connected to the
ground is in a SERVICE DISCONNECT!  In your house the ""main"" panel serves as
the service disconnect.  Sub panles in your garage or workshop for example must
maintain seperate neutral and ground busses because they are not  service
disconnect equipment.
"
6,80,0,455,Baseball and Technical Discussions (17 vertices),"The text discusses the Second Amendment and the right to bear arms, with a focus on the interpretation of the amendment and the role of government representatives in shaping its application. The writer argues that the Second Amendment is an anachronism due to laws prohibiting certain actions, as these laws are made by representatives of the people who have decided on the amendment's limitations. They suggest that the majority of people likely agree with these restrictions, and if not, they should voice their opinions. The text also mentions the right to join a well-organized militia, and how a militia meeting once or twice a year can be considered well-organized, aligning with Hamilton's expectations."
7,100,0,551,Baseball and Technical Discussions (17 vertices),"Is there aything available for X similar to QuicKeys for the Macintosh --
something that will allow me to store and playback sequences of keystrokes,
menu selections, and mouse actions - directing them towards another
application?

If so, could someone send me information on its availability -- and if not,
how hard do we think it might be to send input to other X applications and,
hopefully, deal with their responses appropriately?  (If an application is
going to take a few seconds to process I probably have to wait  for it to
complete before sending another command.)

thanks,"
8,1,0,651,Baseball and Technical Discussions (17 vertices),"The MLB standings and scores for Tuesday, April 6th, 1993, are presented, including the previous day's games. In the National League West division, the Atlanta Braves, Cincinnati Reds, and Florida Marlins are tied for first place with a 1-0 record, while the Colorado Rockies, Houston Astros, and Los Angeles Dodgers are at the bottom with a 0-1 record. The National League East division has the Florida Marlins, New York Mets, and Philadelphia Phillies leading with a 1-0 record, and the Chicago Cubs, Montreal Expos, and St. Louis Cardinals are at the bottom with a 0-1 record.

In the American League West division, the Oakland Athletics and Texas Rangers are tied for first with a 1-0 record, while the Kansas City Royals are at the bottom with a 0-1 record. The American League East division sees the Boston Red Sox, New York Yankees, and Toronto Blue Jays leading with a 1-0 record, while the Baltimore Orioles, Cleveland Indians, and Detroit Tigers are at the bottom with a 0-1 record.

Yesterday's scores are also provided, showing the results of the games played. The email signature of Joseph Hernandez, a sports enthusiast, is included at the end of the text, indicating his support for various teams in the NBA, MLB, and NFL."
9,1,0,661,Baseball and Technical Discussions (17 vertices),"I have a brand new low density 5.25"" floppy drive for MAC.
It comes with a brand new Apple Macintosh II PC drive card, so 
that you can hook the drive up to the card.
It allows you to use DOS formatted disks.
I am selling it for $90 (abt 1/3 retail price).

Ailin
803-654-8817"
10,0,0,711,Baseball and Technical Discussions (17 vertices),"




	And Lebanon has a right to make this decision without Syrian
troops controlling the country.  Until Syria leaves, and free
elections take place, its is rediculous to claim that the Lebanese
would even be involved in determining what happens to their country.


	I expect you will agree that the same holds true for Syria
having no right to be in Lebanon?



	The UN also thought Zionism is racism.  That fails to make it true.


	They lasted weeks against tanks in '48, and stopped those
tanks from advancing.  They also lasted days in '73.  There is little
evidence for the claim that they are military liabilities.

	They evidence is there to show that when infiltrations take
place over the Jordan river, the existance of large, patrolled
kibutzim forces terrorists into a very small area, where they are
usually picked up in the morning.



	Nonsense.  Israel has been trying to get its neighbors to the
negotiating table for 40 years.  It was the gulf war that brought the
arabs to the table, not the Israelis.



	Nonsense.  According to Arafat, Israel must be destroyed.  He
has never come clean and denied that this is his plan.  He always
waffles on what he means.

	``When the Arabs set off their volcano, there will only be Arabs in
	this part of the world.  Our people will continue to fuel the torch
	of the revolution with rivers of blood until the whole of the
	occupied homeland is liberated...''
	--- Yasser Arafat, AP, 3/12/79




Adam Shostack 				       adam@das.harvard.edu"
11,100,0,817,Baseball and Technical Discussions (17 vertices),"
1) The next time you get stoped by a cop, never never never admit to anything.

2) Don't volunteer any information.

3) When a retoracle question is ask by the cop, like ""...it <looked> like you were going kinda fast coming down highway 12.  You <must have> been going at least 70 or 75?"" -- the correct reponse is to deny it. This technique is employed by police to help establish guilt, especially when (9 times out of 10) he/she is not sure who was doing the speeding. If the cop is unsure this may be the difference of him letting you off the hook or getting the tissue.

Hope this helps for next time."
12,0,0,819,Baseball and Technical Discussions (17 vertices),"
little.

I know what you mean!  I glow everytime Ronnie's out on the ice.
In fact, one of the neatest things about seeing the Pens in person
is that I can key in on him instead of watching what I'd probably
be seeing on tv.  He does so many subtle things behind the play.

He said in an interview recently that when he was a kid his dad
stressed the importance of playing two-way hockey; that you have to
learn how to play defense as well as offense and he obviously took
that advice to heart.  He was a breath of fresh air when he arrived
in Pittsburgh to the team whose forwards, for the most part, couldn't
and wouldn't play a lick of defense.

It's really difficult to assess what the key trades were that brought
all of this success to the Pens.  You mention Rick Tocchet and he has
certainly helped, and even ol' Kjell has been steady.  But looking at
this team you could almost take any one of them out of the line-up
permanently and replace them with an extremely mediocre player and it
wouldn't matter.

If I had to pick the top three acquisitions in recent years they would
be 1) Tom Barrasso; 2) Ron Francis; 3) Larry Murphy.  (I'd love to put
Francis first but I do think the only thing that could really damage
the Pens right now would be to lose Barrasso.)"
13,100,0,843,Baseball and Technical Discussions (17 vertices),"Is there anybody who has (or can point me in the right direction) any
information about protected mode? Also interested in protected mode viewed from
a OS point of view."
