Cluster Title,Symbol
Astronomy to Video Cards (23 vertices),Cluster 1
Bike lubricant to Theology (9 vertices),Cluster 2
Boston Bruins and Technology (40 vertices),Cluster 3
Clipper Chip Privacy Concerns (98 vertices),Cluster 4
Constitutional Rights and Technology (32 vertices),Cluster 5
Diverse topics and discussions (87 vertices),Cluster 6
Font conversion to politics (105 vertices),Cluster 7
"Government, Technology, and Law (84 vertices)",Cluster 8
Gun Control to Technology (30 vertices),Cluster 9
"Nazi party, Christianity, and Technology (29 vertices)",Cluster 10
Technical Inquiries and Discussions (29 vertices),Cluster 11
Technology and War Discussions (44 vertices),Cluster 12
"Technology, Bible, and Politics (108 vertices)",Cluster 13
The Importance of Hell (71 vertices),Cluster 14
"Travel, Krillean, and Encryption (74 vertices)",Cluster 15
Units and Contradictory Concepts (137 vertices),Cluster 16
