index,total_in_score,total_out_score,id,title
1,90,0,https://openalex.org/W2946158922,Advances in Quantum Computing (3 vertices)
2,75,10,https://openalex.org/W3043514756,Advances in Quantum Computing (3 vertices)
3,95,0,https://openalex.org/W2231791940,Advances in Quantum Computing (3 vertices)
4,95,75,https://openalex.org/W3131420525,Quantum Circuit Model Development (6 vertices)
5,98,0,https://openalex.org/W3130655125,Quantum Circuit Model Development (6 vertices)
6,95,0,https://openalex.org/W3134749139,Quantum Circuit Model Development (6 vertices)
7,1,0,https://openalex.org/W4285117926,Quantum Circuit Model Development (6 vertices)
8,95,1,https://openalex.org/W3189250281,Quantum Circuit Model Development (6 vertices)
9,1,75,https://openalex.org/W3128504623,Quantum Circuit Model Development (6 vertices)
10,98,10,https://openalex.org/W3129672612,Quantum Computing Principles Applications (74 vertices)
11,0,50,https://openalex.org/W2084019889,Quantum Computing Principles Applications (74 vertices)
12,85,3,https://openalex.org/W1480434469,Quantum Computing Principles Applications (74 vertices)
13,75,1,https://openalex.org/W3104397897,Quantum Computing Principles Applications (74 vertices)
14,0,2,https://openalex.org/W2949778930,Quantum Computing Principles Applications (74 vertices)
15,2,75,https://openalex.org/W2949110438,Quantum Computing Principles Applications (74 vertices)
16,98,50,https://openalex.org/W4280501588,Quantum Computing Principles Applications (74 vertices)
17,0,75,https://openalex.org/W3036484014,Quantum Computing Principles Applications (74 vertices)
18,1,75,https://openalex.org/W2034539720,Quantum Computing Principles Applications (74 vertices)
19,75,2,https://openalex.org/W3047959114,Quantum Computing Principles Applications (74 vertices)
20,65,2,https://openalex.org/W4226470290,Quantum Computing Principles Applications (74 vertices)
21,2,68,https://openalex.org/W3112953322,Quantum Computing Principles Applications (74 vertices)
22,1,1,https://openalex.org/W1668308174,Quantum Computing Principles Applications (74 vertices)
23,65,75,https://openalex.org/W4213379151,Quantum Computing Principles Applications (74 vertices)
24,85,75,https://openalex.org/W4386101203,Quantum Computing Principles Applications (74 vertices)
25,1,33,https://openalex.org/W2027128346,Quantum Computing Principles Applications (74 vertices)
26,0,2,https://openalex.org/W3112714582,Quantum Computing Principles Applications (74 vertices)
27,95,85,https://openalex.org/W4296100178,Quantum Computing Principles Applications (74 vertices)
28,1,75,https://openalex.org/W2044386713,Quantum Computing Principles Applications (74 vertices)
29,75,1,https://openalex.org/W3184830186,Quantum Computing Principles Applications (74 vertices)
30,2,3,https://openalex.org/W2791224451,Quantum Computing Principles Applications (74 vertices)
31,2,10,https://openalex.org/W2151415361,Quantum Computing Principles Applications (74 vertices)
32,1,1,https://openalex.org/W1675770203,Quantum Computing Principles Applications (74 vertices)
33,85,2,https://openalex.org/W2944451514,Quantum Computing Principles Applications (74 vertices)
34,3,1,https://openalex.org/W3198665004,Quantum Computing Principles Applications (74 vertices)
35,0,75,https://openalex.org/W4251760348,Quantum Computing Principles Applications (74 vertices)
36,1,85,https://openalex.org/W3134863278,Quantum Computing Principles Applications (74 vertices)
37,100,0,https://openalex.org/W3184088449,Quantum Computing Principles Applications (74 vertices)
38,75,1,https://openalex.org/W2508786350,Quantum Computing Principles Applications (74 vertices)
39,0,3,https://openalex.org/W4213304426,Quantum Computing Principles Applications (74 vertices)
40,85,75,https://openalex.org/W3149175869,Quantum Computing Principles Applications (74 vertices)
41,0,1,https://openalex.org/W2327411520,Quantum Computing Principles Applications (74 vertices)
42,1,2,https://openalex.org/W2181040799,Quantum Computing Principles Applications (74 vertices)
43,75,75,https://openalex.org/W4293113267,Quantum Computing Principles Applications (74 vertices)
44,3,2,https://openalex.org/W4282941693,Quantum Computing Principles Applications (74 vertices)
45,2,33,https://openalex.org/W4367597947,Quantum Computing Principles Applications (74 vertices)
46,1,0,https://openalex.org/W3160115532,Quantum Computing Principles Applications (74 vertices)
47,3,10,https://openalex.org/W2585884280,Quantum Computing Principles Applications (74 vertices)
48,1,75,https://openalex.org/W3098947601,Quantum Computing Principles Applications (74 vertices)
49,0,1,https://openalex.org/W2056449078,Quantum Computing Principles Applications (74 vertices)
50,1,75,https://openalex.org/W3088999189,Quantum Computing Principles Applications (74 vertices)
51,1,1,https://openalex.org/W2904720022,Quantum Computing Principles Applications (74 vertices)
52,10,75,https://openalex.org/W4292702557,Quantum Computing Principles Applications (74 vertices)
53,3,75,https://openalex.org/W2998036117,Quantum Computing Principles Applications (74 vertices)
54,0,0,https://openalex.org/W2060795920,Quantum Computing Principles Applications (74 vertices)
55,3,75,https://openalex.org/W4366964020,Quantum Computing Principles Applications (74 vertices)
56,1,0,https://openalex.org/W637985913,Quantum Computing Principles Applications (74 vertices)
57,1,3,https://openalex.org/W3102660662,Quantum Computing Principles Applications (74 vertices)
58,75,75,https://openalex.org/W4283370840,Quantum Computing Principles Applications (74 vertices)
59,95,1,https://openalex.org/W3213904105,Quantum Computing Principles Applications (74 vertices)
60,85,2,https://openalex.org/W2612118928,Quantum Computing Principles Applications (74 vertices)
61,0,1,https://openalex.org/W2949784080,Quantum Computing Principles Applications (74 vertices)
62,1,0,https://openalex.org/W2923187158,Quantum Computing Principles Applications (74 vertices)
63,1,3,https://openalex.org/W4387444924,Quantum Computing Principles Applications (74 vertices)
64,5,1,https://openalex.org/W1976187104,Quantum Computing Principles Applications (74 vertices)
65,3,0,https://openalex.org/W3208106953,Quantum Computing Principles Applications (74 vertices)
66,1,1,https://openalex.org/W1972140889,Quantum Computing Principles Applications (74 vertices)
67,0,3,https://openalex.org/W2970352374,Quantum Computing Principles Applications (74 vertices)
68,1,3,https://openalex.org/W2952860957,Quantum Computing Principles Applications (74 vertices)
69,50,2,https://openalex.org/W3012879893,Quantum Computing Principles Applications (74 vertices)
70,1,75,https://openalex.org/W2013032002,Quantum Computing Principles Applications (74 vertices)
71,85,50,https://openalex.org/W4311899354,Quantum Computing Principles Applications (74 vertices)
72,85,75,https://openalex.org/W3034657377,Quantum Computing Principles Applications (74 vertices)
73,1,85,https://openalex.org/W2803463291,Quantum Computing Principles Applications (74 vertices)
74,1,3,https://openalex.org/W2007536474,Quantum Computing Principles Applications (74 vertices)
75,1,0,https://openalex.org/W3039381625,Quantum Computing Principles Applications (74 vertices)
76,75,10,https://openalex.org/W4253984955,Quantum Computing Properties Applications (15 vertices)
77,78,0,https://openalex.org/W2294265358,Quantum Computing Properties Applications (15 vertices)
78,1,60,https://openalex.org/W2128130806,Quantum Computing Properties Applications (15 vertices)
79,85,1,https://openalex.org/W3210651104,Quantum Computing Properties Applications (15 vertices)
80,1,1,https://openalex.org/W2041200556,Quantum Computing Properties Applications (15 vertices)
81,95,3,https://openalex.org/W2117306550,Quantum Computing Properties Applications (15 vertices)
82,1,0,https://openalex.org/W3099192371,Quantum Computing Properties Applications (15 vertices)
83,1,10,https://openalex.org/W2764247099,Quantum Computing Properties Applications (15 vertices)
84,3,0,https://openalex.org/W2529617085,Quantum Computing Properties Applications (15 vertices)
85,75,1,https://openalex.org/W3161808795,Quantum Computing Properties Applications (15 vertices)
86,85,3,https://openalex.org/W4386715627,Quantum Computing Properties Applications (15 vertices)
87,1,0,https://openalex.org/W4288040069,Quantum Computing Properties Applications (15 vertices)
88,0,10,https://openalex.org/W2146565722,Quantum Computing Properties Applications (15 vertices)
89,80,60,https://openalex.org/W2951558227,Quantum Computing Properties Applications (15 vertices)
90,10,75,https://openalex.org/W2189148991,Quantum Computing Properties Applications (15 vertices)
