index,total_in_score,total_out_score,id,title,abstract
1,100,0,184,ASTRO-MED and JONES Results (2 vertices),"ASTRO-MED INC &lt;ALOT> 4TH QTR NET
  Shr 10 cts vs nine cts
      Net 217,000 vs 192,000
      Revs 3,325,000 vs 2,506,000
      Year
      Shr 31 cts vs 43 cts
      Net 660,000 vs 932,000
      Revs 12.2 mln vs 10.7 mln
  

"
2,85,0,576,ASTRO-MED and JONES Results (2 vertices),"JONES MEDICAL INDUSTRIES INC &lt;JMED> 4TH QTR NET
  Shr six cts vs five cts
      Net 199,037 vs 135,587
      Sales 1,594,895 vs 1,368,959
      Avg shrs 3.1 mln vs 2.5 mln
      Year
      Shr 25 cts vs 19 cts
      Net 695,398 vs 446,426
      Sales 5,785,365 vs 4,520,781
      Avg shrs 2.8 mln vs 2.4 mln
  

"
3,70,0,6,Bank of England Revises (13 vertices),"U.K. MONEY MARKET DEFICIT REVISED UPWARD
  The Bank of England said it has revised
  its estimate of today's shortfall to 750 mln stg from 700 mln.
  

"
4,100,0,8,Bank of England Revises (13 vertices),"INVESTMENT FIRM HAS 7.1 PCT OF CYCLOPS &lt;CYL&lt;
  Halcyon Investments, a New York risk
  arbitrage and securities dealing partnership, told the
  Securities and Exchange Commission it has acquired 288,000
  shares of Cyclops Corp, or 7.1 pct of the total outstanding.
      Halcyon said it bought the stake for 26.1 mln dlrs as part
  of its ordinary risk arbitrage and securities trading business.
  Other than that, the firm said there was no specific purpose in
  its purchases.
      Halcyon said it might buy more stock or sell some or all of
  its current stake. It said it bought the bulk of its stake
  between Feb 6 and March 13.
  

"
5,70,0,32,Bank of England Revises (13 vertices),"U.K. MONEY MARKET FORECAST REVISED TO DEFICIT
  The Bank of England said it revised its
  estimate of today's money market shortfall to around 350 mln
  stg from a flat position.
  

"
6,85,0,217,Bank of England Revises (13 vertices),"U.K. MONEY MARKET DEFICIT REVISED TO 550 MLN STG
  The Bank of England said it had revised
  its estimate of the shortage in the money market back to its
  initial forecast of 550 mln stg.
      At midsession the central bank changed the shortfall to 500
  mln and provided assistance worth 96 mln stg through bank bill
  purchases in bands one and two at established dealing rates.
  

"
7,10,0,365,Bank of England Revises (13 vertices),"CYACQ EXTENDS TENDER FOR CYCLOPS &lt;CYL>
  Cyacq Corp said it extended its 80
  dlr a share tender offer for Cyclops Corp to March 20 from
  today.
      Cyacq was formed by Citicorp Capital Investors Ltd and
  Audio Video Affiliates INc &lt;AVA> to acquire Cyclops. THe tender
  offer began on February six.
      The offer is conditioned upon at least 80 pct of the
  outstanding shares and at least 80 pct of the voting securities
  being tendered before expiration of the offer.
      As of March six, only 353 shares of Cyclops' 4.1 mln
  outstanding shares had been tendered.
  

"
8,10,0,374,Bank of England Revises (13 vertices),"AMERICAN CYANAMID &lt;ACY> BUYS U.K. COMPANY
  American Cyanamid Co said it bought
  the 50 pct interest of Cyanamid Fothergill Ltd held by
  &lt;Fothergill and Harvey PLC>, making the unit a wholly owned
  subsidiary.
      The unit manufactures structural materials, including
  advanced composites, adhesives, and aluminum honeycomb for the
  European space industry.
      The current management will remain in place and the unit
  will continue at its locations in Wrexham, U.K., the company
  said.
  

"
9,5,0,378,Bank of England Revises (13 vertices),"U.K. MERGER CLEARANCES
  The Secretary of State for Trade and
  Industry said he had decided not to refer the proposed
  acquisition by Reed International Plc &lt;REED.L> of &lt;Technical
  Publishing Company Inc> to the Monopolies and Mergers
  Commission.
      The proposed acquisition by &lt;Rosehaugh Plc> of &lt;The General
  Funds Investment Trust Plc> was also cleared.
  

"
10,1,0,453,Bank of England Revises (13 vertices),"U.K. CLEARS CONS GOLD U.S. PURCHASE
  The U.K. Trade Department said it would
  not refer Consolidated Goldfields Plc's &lt;CGLD.L> purchase of
  &lt;American Aggregates Corp> to the Monopolies Commission.
      Cons Gold said last month that its &lt;ARC America Corp> unit
  had agreed to buy the Ohio-based company for 30.625 dlrs a
  share cash, or 242 mln dlrs, in a deal recommended by the
  Aggregates board.
  

"
11,0,0,553,Bank of England Revises (13 vertices),"FROST AND SULLIVAN INC &lt;FRSL> 2ND QTR JAN 31
  Shr profit 12 cts vs loss two cts
      Net profit 182,173 vs loss 28,977
      Revs 4,483,047 vs 3,994,808
      1st half
      Shr profit 14 cts vs loss eight cts
      Net profit 221,376 vs loss 120,435
      Revs 8,270,947 vs 7,150,265
  

"
12,10,0,673,Bank of England Revises (13 vertices),"CROSS BOOSTS FROST AND SULLIVAN &lt;FRSL> HOLDINGS
  A shareholder group led by New York
  investor Theodore Cross said in a Securities and Exchange
  Commission filing that it boosted its stake in Frost and
  Sullivan Inc common stock to 208,800 shares or 13.7 pct of the
  total outstanding.
      The group said Cross bought 17,000 shares in the open
  market between Feb. 17 and March 10.
      The group had said previously that its Frost and Sullivan
  share purchases were for investment.
  

"
13,10,0,783,Bank of England Revises (13 vertices),"U.K. MONEY MARKET SHORTAGE FORECAST REVISED UP
  The Bank of England said it revised up
  its estimate of the deficit in the system today to 1.3 billion
  stg from 1.1 billion.
      The Bank has not provided any assistance to the market so
  far today but earlier invited the discount houses to use their
  borrowing facilities at 1430 GMT today and set the terms at 10
  pct for 14 days.
  

"
