index,total_in_score,total_out_score,id,title,abstract
1,1,10,https://openalex.org/W2115561360,Overview of Scramjet Engines (40 vertices),"Experimental investigations of characteristi cs of the flying models (demonstrators) like Hyper-X etc in on-ground test facilities are conducted now in the network of hypersonic technology development. Testing of the scramjet unit on autonomous hypersonic flight lab (HFL) Igla of length Ly~8 m is scheduled in CIAMB together with a number of other research organizations. On-ground testing of HFL flight regimes sufficient for beginning of real-flight tests is carried out in a number of facilities 2'3 using models and full-scale vehicle sections of the scramjet to provide vehicle stability, flight control and strength conditions with account for operating scramjet at its autonomous flight. The program, methods and principles of operation of piston gasdynamic unit (PGU) with multicascade compression (MCC) for complex investigation of characteristics of the HFL and scramjet section under conditions closely approaching to the real flight are described in the paper. The first stage of the Igla HFL pre-model tests in the PGU-7 for Mach numbers ~ 10,13 are also presented in the paper."
2,95,10,https://openalex.org/W2330453430,Overview of Scramjet Engines (40 vertices),"Flow and combustion of a hydrocarbon-air mixture in a channel modeling a section of a supersonic combustion ramjet (scramjet) are considered. Fields of concentrations, pressure, and temperature are calculated with the use of two-dimensional computational model based on non-stationary system of NavierStokes equations, energy conservation and diffusion equations together with system of chemical kinetic equations. Based on them, the fields of spectral optical properties and thermal radiation of the gas mixture within a scramjet combustor are computed. The density of the radiative heat flux to the chamber wall is computed by an approximation of the plane layer. Several fuels and corresponding chemical kinetics models are considered. These are: H2, CH4, C2H6, kerosene. Combustion of H2-air mixture is considered with the purpose of comparisons with calculation data of H.F.Nelson (Nelson, H.F., “Radiative Heating in Scramjet combustor,” J. Thermophysics and Heat Transfer, Vol. 11, No.1, 1997) and I.Boid et al. (Crow A., Boyd I., Terrapon V., “Radiation Modeling of a Hydrogen-Fueled Scramjet,” AIAA 2011-3769. 2011. 15 p.). It has been shown that some regimes of burning are non-stationary, and the radiative heat flux contributes significantly to the total heating of the combustor wall. Comparison of radiation heat fluxes for different initial conditions are presented."
3,1,10,https://openalex.org/W2955009106,Overview of Scramjet Engines (40 vertices),"Abstract Stability of combustion in solid fuel scramjets is contingent upon proper geometry of fuel grain and availability of a flame holder. Flame stabilization is achieved in the recirculation zone developing due to sudden expansion behind the inlet. Previous experimental and theoretical works suggest that there exists an optimum range of length-to-diameter ratios for the flame holder. However, due to fuel burnout the channel and flame holder geometry change in the process of scramjet operation, the regression rate being variable both in time and length. The purpose of this work is to develop a computational model of a solid-fuel scramjet taking into account the geometry variation, as well as to obtain typical flow patterns at the different stages of combustion. The numerical model is based on a system of fully compressible RANS equations with k-epsilon turbulence model. Turbulent combustion is described by the Eddy Dissipation Concept (EDC) model.Stability of combustion in solid fuel scramjets is contingent upon proper geometry of fuel grain and availability of a flame holder. Flame stabilization is achieved in the recirculation zone developing due to sudden expansion behind the inlet. Previous experimental and theoretical works suggest that there exists an optimum range of length-to-diameter ratios for the flame holder. However, due to fuel burnout the channel and flame holder geometry change in the process of scramjet operation, the regression rate being variable both in time and length. The purpose of this work is to develop a computational model of a solid-fuel scramjet taking into account the geometry variation, as well as to obtain typical flow patterns at the different stages of combustion. The numerical model is based on a system of fully compressible RANS equations with k-epsilon turbulence model. Turbulent combustion is described by the Eddy Dissipation Concept (EDC) model."
4,10,0,https://openalex.org/W2799379648,Overview of Scramjet Engines (40 vertices),In the paper a historical overview of scramjet propulsion development is presented. Three main stages of development of hypersonic summer programs are distinguish. The conclusion about the importance of the development of three-dimensional computer models describing the process in the scramjet is made.
5,95,30,https://openalex.org/W3135143354,Overview of Scramjet Engines (40 vertices),"The accurate parameter prediction of a flow field is of practical significance to promote the development of hypersonic flight. Velocity field prediction using deep learning is a promising method to provide an accurate velocity field in a scramjet isolator. A new approach for the velocity field prediction in a scramjet isolator is developed in this study. A data-driven model is proposed for the prediction of the velocity field in a scramjet isolator by convolutional neural networks (CNNs) using measurements of the pressure on the isolator. Numerical simulations of flow in a three-dimensional scramjet isolator at various Mach numbers and backpressures are carried out to establish the dataset capturing the flow mechanism over various operating conditions. A CNN architecture composed of multiple reconstruction modules and feature extraction modules is designed. The CNN is trained using the computational fluid dynamics dataset to establish the mapping relationship between the wall pressure on the isolator and the velocity field in the isolator. The trained model is then tested over various Mach numbers and backpressures. The data-driven model successfully learns the relationship between the velocity field and pressure experienced on the wall of the isolator, i.e., the trained CNN model successfully reconstructed the velocity field based on the wall pressure on the isolator with high accuracy."
6,5,10,https://openalex.org/W2908605412,Overview of Scramjet Engines (40 vertices),"The review of modern achievements in the field of development of high-speed flying vehicles with a power plant is presented, based on the information available in open sources. Modern development projects for such vehicles are considered. The main focus is on the projects dedicated to scramjets development and started to carrying out in the last decade. The ways of solving the problems connected with the development of high-speed aircraft with power plants based on scramjets are analyzed. The materials presented in the paper can be useful at the stages of setting tasks and implementing various projects for the development of civil high-speed vehicles."
7,1,50,https://openalex.org/W2312577630,Overview of Scramjet Engines (40 vertices),"Under a contract with NASA, a joint Central Institute of Aviation Motors (CIAM) and NASA team is preparing to conduct the fourth flight test of a dual-mode scramjet aboard the CIAM Hypersonic Flying Laboratory, “Kholod.” Ground-launch, rocket boosted by a modified Russian SA-5 missile, the redesigned scramjet is to be accelerated to a new maximum velocity of Mach 6.5. This should allow for the first-time measurement of the fully supersonic combustion mode. The primary program objective is the flight-to-ground correlation of measured data with preflight analysis and wind-tunnel tests in Russia and potentially in the United States. This paper describes the development and objectives of the program as well as the technical details of the scramjet and SA-5 redesign to achieve the Mach 6.5 aim test condition. The purpose and value of a joint Russian-American program to attain overall hypersonic air-breathing technology objectives are discussed. Finally, the current project status and schedules to reach the final flight launch are discussed."
8,1,60,https://openalex.org/W2074886477,Overview of Scramjet Engines (40 vertices),NASA has contracted with the Central Institute of Aviation Motors CIAM to perform a flight test and ground test and provide a scramjet engine for ground test in the United States. The objective of this contract is to obtain ground to flight correlation for a supersonic combustion ramjet (scramjet) engine operating point at a Mach number of 6.5. This paper presents results from a flow path performance and thermal evaluation performed on the design proposed by the CIAM. This study shows that the engine will perform in the scramjet mode for stoichiometric operation at a flight Mach number of 6.5. Thermal assessment of the structure indicates that the combustor cooling liner will provide adequate cooling for a Mach number of 6.5 test condition and that optional material proposed by CIAM for the cowl leading-edge design are required to allow operation with or without a type IV shock-shock interaction.
9,1,10,https://openalex.org/W1993199891,Overview of Scramjet Engines (40 vertices),"The Russian Central Institute of Aviation Motors (CIAM) performed a flight test of a CIAM-designed, hydrogen-cooled/fueled dual-mode scramjet engine over a Mach number range of approximately 3.5 to 6.4 on February 12, 1998, at the Sary Shagan test range in Kazakhstan. This rocket-boosted, captive-carry test of the axisymmetric engine reached the highest Mach number of any scramjet engine flight test to date. The flight test and the accompanying ground test program, conducted in a CIAM test facility near Moscow, were performed under a NASA contract administered by the Dryden Flight Research Center with technical assistance from the Langley Research Center. Analysis of the flight and ground data by both CIAM and NASA resulted in the following preliminary conclusions. An unexpected control sensor reading caused non-optimal fueling of the engine, and flowpath modifications added to the engine inlet during manufacture caused markedly reduced inlet performance. Both of these factors appear to have contributed to the dual-mode scramjet engine operating primarily in a subsonic combustion mode. At the maximum Mach number test point, combustion caused transition from supersonic flow at the fuel injector station to primarily subsonic flow in the combustor. Ground test data were obtained at similar conditions to the flight test, allowing for a meaningful comparison between the ground and flight data. The results of this comparison indicate that the differences in engine performance are small."
10,2,2,https://openalex.org/W4205324936,Overview of Scramjet Engines (40 vertices),The paper studies of the cellular detonation wave interaction with supersonic reacting flow in the scramjet combustion chamber. Comparing the flow fields for the details and the reduced chemical kinetics models is allowed verifying the acceptability of the proposed simplified kinetic scheme. The possibility of using pulsating detonation for the ignition intensification in the scramjet combustion chamber is shown. Calculation of the detonation wave interaction with nonpremixed hydrogenair mixture is made. The ability to influence on the hydrogen-air mixing process by means of detonation tube is detected. The effect of tube sizes to intensification of hydrogen air mixing in the flow at channel with a cavity is calculated.
