index,total_in_score,total_out_score,id,title
1,95,10,https://openalex.org/W4285226314,4D Printing and Applications (5 vertices)
2,95,0,https://openalex.org/W4280651380,4D Printing and Applications (5 vertices)
3,75,30,https://openalex.org/W3206867951,4D Printing and Applications (5 vertices)
4,80,0,https://openalex.org/W4319224835,4D Printing and Applications (5 vertices)
5,80,0,https://openalex.org/W3136835370,4D Printing and Applications (5 vertices)
6,95,10,https://openalex.org/W4283329449,Advancements in 3D Printing (5 vertices)
7,85,0,https://openalex.org/W4385893892,Advancements in 3D Printing (5 vertices)
8,95,0,https://openalex.org/W3127268375,Advancements in 3D Printing (5 vertices)
9,30,10,https://openalex.org/W3206317366,Advancements in 3D Printing (5 vertices)
10,95,0,https://openalex.org/W4328134579,Advancements in 3D Printing (5 vertices)
11,99,10,https://openalex.org/W4317885483,Properties of Smart Materials (20 vertices)
12,85,10,https://openalex.org/W2048478319,Properties of Smart Materials (20 vertices)
13,95,0,https://openalex.org/W2144889722,Properties of Smart Materials (20 vertices)
14,75,0,https://openalex.org/W3149512922,Properties of Smart Materials (20 vertices)
15,90,0,https://openalex.org/W2395787148,Properties of Smart Materials (20 vertices)
16,85,10,https://openalex.org/W2159877694,Properties of Smart Materials (20 vertices)
17,0,10,https://openalex.org/W3210228331,Properties of Smart Materials (20 vertices)
18,0,85,https://openalex.org/W3133157722,Properties of Smart Materials (20 vertices)
19,75,10,https://openalex.org/W1590627104,Properties of Smart Materials (20 vertices)
20,3,75,https://openalex.org/W4327699019,Properties of Smart Materials (20 vertices)
21,1,0,https://openalex.org/W2802799800,Properties of Smart Materials (20 vertices)
22,0,0,https://openalex.org/W3188333211,Properties of Smart Materials (20 vertices)
23,0,10,https://openalex.org/W4306709066,Properties of Smart Materials (20 vertices)
24,1,10,https://openalex.org/W4311970594,Properties of Smart Materials (20 vertices)
25,60,0,https://openalex.org/W4285252261,Properties of Smart Materials (20 vertices)
26,75,60,https://openalex.org/W2034385043,Properties of Smart Materials (20 vertices)
27,0,75,https://openalex.org/W2138467652,Properties of Smart Materials (20 vertices)
28,80,0,https://openalex.org/W3126976046,Smart Biomaterials for Repair (3 vertices)
29,60,1,https://openalex.org/W4313490979,Smart Biomaterials for Repair (3 vertices)
30,95,0,https://openalex.org/W4308895126,Smart Biomaterials for Repair (3 vertices)
31,95,30,https://openalex.org/W3171084197,Smart Materials and Applications (26 vertices)
32,85,10,https://openalex.org/W3194139872,Smart Materials and Applications (26 vertices)
33,1,0,https://openalex.org/W4307574590,Smart Materials and Applications (26 vertices)
34,75,0,https://openalex.org/W1982897964,Smart Materials and Applications (26 vertices)
35,80,10,https://openalex.org/W4200091676,Smart Materials and Applications (26 vertices)
36,95,0,https://openalex.org/W3033402837,Smart Materials and Applications (26 vertices)
37,1,60,https://openalex.org/W3115355951,Smart Materials and Applications (26 vertices)
38,75,1,https://openalex.org/W4221132619,Smart Materials and Applications (26 vertices)
39,2,10,https://openalex.org/W3042662628,Smart Materials and Applications (26 vertices)
