index,total_in_score,total_out_score,id,title,abstract
1,85,0,60,Administrative Divisions and Development (17 vertices),"Real estate development, or property development, is a business process, encompassing activities that range from the renovation and re-lease of existing buildings to the purchase of raw land and the sale of developed land or parcels to others.  Real estate developers are the people and companies who coordinate all of these activities, converting ideas from paper to real property."
2,10,0,142,Administrative Divisions and Development (17 vertices),"Administrative divisions (also administrative units, administrative regions, subnational entities, or constituent states, as well as many similar generic terms) are geographical areas into which a particular independent sovereign state is divided.  Such a unit usually has an administrative authority with the power to take administrative or policy decisions for its area.  Administrative divisions are often used as polygons in geospatial analysis."
3,0,0,215,Administrative Divisions and Development (17 vertices),"This is a list of the world's largest non-governmental privately held companies  by revenue. This list does not include state-owned enterprises like Sinopec, State Grid, China National Petroleum, Kuwait Petroleum Corporation, Pemex, Petrobras, PDVSA and others.  These corporations have revenues of at least US$10 billion."
4,10,0,278,Administrative Divisions and Development (17 vertices),"Alaska Natives (also known as Native Alaskans or Indigenous Alaskans) are the Indigenous peoples of Alaska that encompass a diverse arena of cultural and linguistic groups, including the Iñupiat, Yupik, Aleut, Eyak, Tlingit, Haida, Tsimshian, and various Northern Athabaskan, as well as Russian Creoles.  These groups are often categorized by their distinct language families."
5,50,0,319,Administrative Divisions and Development (17 vertices),"Equity sharing is another name for shared ownership or co-ownership.  It takes one property, more than one owner, and blends them to maximize profit and tax deductions.  Typically, the parties find a home and buy it together as co-owners, but sometimes they join to co-own a property one of them already owns.  At the end of an agreed term, they buy one another out or sell the property and split the equity."
6,0,0,337,Administrative Divisions and Development (17 vertices),"ABC Owned Television Stations is a division of Disney General Entertainment Content operated by Disney Networks Group that oversees the owned-and-operated stations of the American Broadcasting Company (ABC), a division of The Walt Disney Company.  The division also operates the Localish network."
7,0,0,343,Administrative Divisions and Development (17 vertices),"A joint venture (JV) is a business entity created by two or more parties, generally characterized by shared ownership, shared returns and risks, and shared governance.  Companies typically pursue joint ventures for one of four reasons: to access a new market, particularly emerging market; to gain scale efficiencies by combining assets and operations; to share risk for major investments or projects; or to access skills and capabilities."
8,0,0,344,Administrative Divisions and Development (17 vertices),"Metro Detroit is a major metropolitan area in the U. S.  state of Michigan, consisting of the city of Detroit and over 200 municipalities in the surrounding area.  There are varied definitions of the area, including the official statistical areas designated by the Office of Management and Budget, a federal agency of the United States. Metro Detroit is known for its automotive heritage, arts, entertainment, popular music, food, cultural diversity, and sports."
9,2,0,398,Administrative Divisions and Development (17 vertices),"Native Americans (also called American Indians, First Americans, or Indigenous Americans) are the Indigenous peoples of the United States, particularly of the lower 48 states and Alaska.  They may also include any Americans whose origins lie in any of the indigenous peoples of North or South America.  The United States Census Bureau publishes data about ""American Indians and Alaska Natives"", whom it defines as anyone ""having origins in any of the original peoples of North and South America . . ."
10,1,0,481,Administrative Divisions and Development (17 vertices),"A division, sometimes called a business sector or business unit (segment), is one of the parts into which a business, organization or company is divided.  Overview Divisions are distinct parts of a business.  If these divisions are all part of the same company, then that company is legally responsible for all of the obligations and debts of the divisions. In the banking industry, an example would be East West Bancorp and its primary subsidiary, East West Bank."
