index,total_in_score,total_out_score,id,title
1,95,0,https://openalex.org/W817940095,Advances in Aerodynamic Testing (2 vertices)
2,10,0,https://openalex.org/W4200520077,Advances in Aerodynamic Testing (2 vertices)
3,95,0,https://openalex.org/W2515127318,Enhancing Reynolds Number Calculation (2 vertices)
4,95,0,https://openalex.org/W2531552953,Enhancing Reynolds Number Calculation (2 vertices)
5,95,0,https://openalex.org/W2123360367,Environmental Factors Impact Studies (2 vertices)
6,1,0,https://openalex.org/W2558849353,Environmental Factors Impact Studies (2 vertices)
7,95,0,https://openalex.org/W2009185908,Sensor Technologies in Wind Tunnels (2 vertices)
8,85,0,https://openalex.org/W2150979264,Sensor Technologies in Wind Tunnels (2 vertices)
9,95,0,https://openalex.org/W181940752,Studying Complex Aerodynamic Phenomena (3 vertices)
10,85,0,https://openalex.org/W3098567749,Studying Complex Aerodynamic Phenomena (3 vertices)
11,85,0,https://openalex.org/W3082482962,Studying Complex Aerodynamic Phenomena (3 vertices)
12,75,0,https://openalex.org/W3049644507,Wind Interaction with Structures (9 vertices)
13,1,0,https://openalex.org/W2285388779,Wind Interaction with Structures (9 vertices)
14,75,0,https://openalex.org/W3129521254,Wind Interaction with Structures (9 vertices)
15,1,0,https://openalex.org/W2747951257,Wind Interaction with Structures (9 vertices)
16,1,0,https://openalex.org/W3013387648,Wind Interaction with Structures (9 vertices)
17,1,0,https://openalex.org/W2961177200,Wind Interaction with Structures (9 vertices)
18,0,0,https://openalex.org/W2886299735,Wind Interaction with Structures (9 vertices)
19,0,0,https://openalex.org/W3022478901,Wind Interaction with Structures (9 vertices)
20,0,0,https://openalex.org/W2582430223,Wind Interaction with Structures (9 vertices)
21,80,10,https://openalex.org/W2906295914,Wind Tunnel Experiments Applications (7 vertices)
22,5,0,https://openalex.org/W2899178676,Wind Tunnel Experiments Applications (7 vertices)
23,80,0,https://openalex.org/W4206058844,Wind Tunnel Experiments Applications (7 vertices)
24,50,0,https://openalex.org/W4225999944,Wind Tunnel Experiments Applications (7 vertices)
25,5,0,https://openalex.org/W2096174388,Wind Tunnel Experiments Applications (7 vertices)
26,85,0,https://openalex.org/W2077070931,Wind Tunnel Experiments Applications (7 vertices)
27,75,0,https://openalex.org/W2286178401,Wind Tunnels and Applications (71 vertices)
28,0,0,https://openalex.org/W3000533390,Wind Tunnels and Applications (71 vertices)
29,85,0,https://openalex.org/W4362483735,Wind Tunnels and Applications (71 vertices)
30,1,0,https://openalex.org/W2062477095,Wind Tunnels and Applications (71 vertices)
31,85,0,https://openalex.org/W3154117456,Wind Tunnels and Applications (71 vertices)
32,75,0,https://openalex.org/W2072331171,Wind Tunnels and Applications (71 vertices)
33,1,0,https://openalex.org/W2130313143,Wind Tunnels and Applications (71 vertices)
34,1,0,https://openalex.org/W1966306790,Wind Tunnels and Applications (71 vertices)
35,85,0,https://openalex.org/W2135467387,Wind Tunnels and Applications (71 vertices)
36,1,0,https://openalex.org/W2335453769,Wind Tunnels and Applications (71 vertices)
37,75,0,https://openalex.org/W2131872380,Wind Tunnels and Applications (71 vertices)
38,0,0,https://openalex.org/W1514222590,Wind Tunnels and Applications (71 vertices)
39,65,0,https://openalex.org/W4386037084,Wind Tunnels and Applications (71 vertices)
40,1,10,https://openalex.org/W2978998387,Wind Tunnels and Applications (71 vertices)
41,1,0,https://openalex.org/W3035553173,Wind Tunnels and Applications (71 vertices)
42,2,0,https://openalex.org/W2254496085,Wind Tunnels and Applications (71 vertices)
43,0,0,https://openalex.org/W1515399248,Wind Tunnels and Applications (71 vertices)
44,1,0,https://openalex.org/W2531038094,Wind Tunnels and Applications (71 vertices)
45,0,0,https://openalex.org/W2245453631,Wind Tunnels and Applications (71 vertices)
46,0,0,https://openalex.org/W3082203774,Wind Tunnels and Applications (71 vertices)
47,1,0,https://openalex.org/W2182609328,Wind Tunnels and Applications (71 vertices)
48,0,0,https://openalex.org/W2356166214,Wind Tunnels and Applications (71 vertices)
49,0,0,https://openalex.org/W2318707047,Wind Tunnels and Applications (71 vertices)
50,0,0,https://openalex.org/W2766703057,Wind Tunnels and Applications (71 vertices)
51,95,0,https://openalex.org/W2094888691,Wind Tunnels and Applications (71 vertices)
52,0,0,https://openalex.org/W2052607545,Wind Tunnels and Applications (71 vertices)
53,0,0,https://openalex.org/W1965585963,Wind Tunnels and Applications (71 vertices)
54,0,0,https://openalex.org/W2431200263,Wind Tunnels and Applications (71 vertices)
55,1,0,https://openalex.org/W2988973732,Wind Tunnels and Applications (71 vertices)
56,0,0,https://openalex.org/W3181027240,Wind Tunnels and Applications (71 vertices)
57,0,0,https://openalex.org/W2898665779,Wind Tunnels and Applications (71 vertices)
58,1,1,https://openalex.org/W2097924593,Wind Tunnels and Applications (71 vertices)
59,1,0,https://openalex.org/W2754862202,Wind Tunnels and Applications (71 vertices)
60,0,0,https://openalex.org/W2356633439,Wind Tunnels and Applications (71 vertices)
61,0,0,https://openalex.org/W2056390618,Wind Tunnels and Applications (71 vertices)
62,1,0,https://openalex.org/W2738622458,Wind Tunnels and Applications (71 vertices)
63,0,0,https://openalex.org/W4360973241,Wind Tunnels and Applications (71 vertices)
64,1,0,https://openalex.org/W2045103613,Wind Tunnels and Applications (71 vertices)
65,0,10,https://openalex.org/W2802105768,Wind Tunnels and Applications (71 vertices)
66,1,0,https://openalex.org/W2950503817,Wind Tunnels and Applications (71 vertices)
67,0,0,https://openalex.org/W2981202628,Wind Tunnels and Applications (71 vertices)
