,paper_id,target,type
0,https://openalex.org/W4280652955,A Vijay kumar,author
1,https://openalex.org/W4280652955,,institution
2,https://openalex.org/W4280652955,3d-printing 3d-printing,keyword
3,https://openalex.org/W4280652955,review paper,keyword
4,https://openalex.org/W3026311378,Leke Osmani,author
5,https://openalex.org/W3026311378,,institution
6,https://openalex.org/W3026311378,economic implications,keyword
7,https://openalex.org/W3026311378,3d,keyword
8,https://openalex.org/W3026311378,technology,keyword
9,https://openalex.org/W4313309653,texture,keyword
10,https://openalex.org/W4313309653,foods,keyword
11,https://openalex.org/W4313309653,3d‐printed,keyword
12,https://openalex.org/W4389070431,Haofan Liu,author
13,https://openalex.org/W4389070431,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, 610041 China",institution
14,https://openalex.org/W4389070431,CN,country
15,https://openalex.org/W4389070431,Liming He,author
18,https://openalex.org/W4389070431,Maja Kuzmanović,author
19,https://openalex.org/W4389070431,"College of Polymer Science and Engineering, Sichuan University, Chengdu, 610065 China",institution
21,https://openalex.org/W4389070431,Yiting Huang,author
24,https://openalex.org/W4389070431,Li Zhang,author
27,https://openalex.org/W4389070431,Yi Zhang,author
30,https://openalex.org/W4389070431,Qi Zhu,author
33,https://openalex.org/W4389070431,Ya Ren,author
34,https://openalex.org/W4389070431,"Huahang Microcreate Technology Co., Ltd, Chengdu, 610042 China",institution
36,https://openalex.org/W4389070431,Yinchu Dong,author
37,https://openalex.org/W4389070431,"Chengdu OrganoidMed Medical Laboratory, Chengdu, 610000 China; Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, 610041 China",institution
39,https://openalex.org/W4389070431,Ludwig Cardon,author
40,https://openalex.org/W4389070431,"Centre for Polymer and Material Technologies, Department of Materials, Textiles and Chemical Engineering, Faculty of Engineering and Architecture, Ghent University, Ghent, 9159052 Belgium",institution
41,https://openalex.org/W4389070431,BE,country
42,https://openalex.org/W4389070431,Maling Gou,author
45,https://openalex.org/W2987177085,Fang Wang,author
46,https://openalex.org/W2987177085,"Jingmen Second People’s Hospital, Jingmen 448000, China",institution
47,https://openalex.org/W2987177085,CN,country
48,https://openalex.org/W2987177085,3d printing materials,keyword
49,https://openalex.org/W2987177085,3d printing,keyword
50,https://openalex.org/W2290412444,Joe Micallef,author
51,https://openalex.org/W2290412444,"Los Angeles, USA",institution
52,https://openalex.org/W2290412444,US,country
53,https://openalex.org/W2290412444,3d-printing 3d-printing,keyword
54,https://openalex.org/W2290412444,service,keyword
55,https://openalex.org/W4385648397,Yaoxin Huang,author
56,https://openalex.org/W4385648397,"Mechanical Design and Manufacturing and Their Automation, Shantou University, Shantou, China",institution
57,https://openalex.org/W4385648397,CN,country
58,https://openalex.org/W4385648397,Jiaqi Chen,author
59,https://openalex.org/W4385648397,"Aerospace Engineering, University of Manchester, Manchester, UK",institution
60,https://openalex.org/W4385648397,GB,country
61,https://openalex.org/W4385648397,3d printing,keyword
62,https://openalex.org/W4220904419,safety,keyword
63,https://openalex.org/W4220904419,research,keyword
64,https://openalex.org/W4220904419,challenges,keyword
65,https://openalex.org/W4220904419,needs,keyword
66,https://openalex.org/W3203757189,Jing Nie,author
67,https://openalex.org/W3203757189,"State Key Laboratory of Fluid Power and Mechatronic Systems, School of Mechanical Engineering, Zhejiang University, Hangzhou, P.R. China",institution
68,https://openalex.org/W3203757189,CN,country
69,https://openalex.org/W3203757189,Yong He,author
72,https://openalex.org/W3203757189,printing,keyword
73,https://openalex.org/W3203757189,three-dimensional,keyword
74,https://openalex.org/W4387165707,Jiangtao Yu,author
75,https://openalex.org/W4387165707,"School of Chemistry and Chemical Engineering, Jiangsu University, Zhenjiang 212013, PR China",institution
76,https://openalex.org/W4387165707,CN,country
77,https://openalex.org/W4387165707,Jie Zhu,author
80,https://openalex.org/W4387165707,Linlin Chen,author
83,https://openalex.org/W4387165707,Yanhong Chao,author
84,https://openalex.org/W4387165707,"College of Science, State Key Laboratory of Heavy Oil Processing, China University of Petroleum-Beijing, Beijing 102249, PR China",institution
86,https://openalex.org/W4387165707,Wenshuai Zhu,author
87,https://openalex.org/W4387165707,"College of Chemical Engineering and Environment, State Key Laboratory of Heavy Oil Processing, China University of Petroleum-Beijing, Beijing 102249, PR China; School of Chemistry and Chemical Engineering, Jiangsu University, Zhenjiang 212013, PR China",institution
89,https://openalex.org/W4387165707,Zhichang Liu,author
90,https://openalex.org/W4387165707,"College of Chemical Engineering and Environment, State Key Laboratory of Heavy Oil Processing, China University of Petroleum-Beijing, Beijing 102249, PR China",institution
92,https://openalex.org/W4387165707,adsorption materials,keyword
93,https://openalex.org/W4387165707,3d printing technology,keyword
94,https://openalex.org/W4387165707,3d printing,keyword
95,https://openalex.org/W4387165707,separation process,keyword
96,https://openalex.org/W3088488815,Yoo Jin Choo,author
97,https://openalex.org/W3088488815,"Production R&D Division Advanced Interdisciplinary Team, Medical Device Development Center, Daegu-Gyeongbuk Medical Innovation, Daegu, Korea",institution
98,https://openalex.org/W3088488815,KR,country
99,https://openalex.org/W3088488815,Mathieu Boudier-Revéret,author
100,https://openalex.org/W3088488815,"Department of Physical Medicine and Rehabilitation, Centre Hospitalier de l’Université de Montréal, Montreal, Canada",institution
101,https://openalex.org/W3088488815,CA,country
102,https://openalex.org/W3088488815,Min Cheol Chang,author
103,https://openalex.org/W3088488815,"Department of Rehabilitation Medicine, College of Medicine, Yeungnam University, Daegu, Korea",institution
105,https://openalex.org/W3088488815,3d printing technology,keyword
106,https://openalex.org/W3088488815,orthosis,keyword
107,https://openalex.org/W3088488815,manufacturing,keyword
108,https://openalex.org/W3060781368,Junhong Ye,author
109,https://openalex.org/W3060781368,"School of Materials Science and Engineering, Sun-Yat-sen University, Guangzhou, 510275 China",institution
110,https://openalex.org/W3060781368,CN,country
111,https://openalex.org/W3060781368,Daniela A. Wilson,author
112,https://openalex.org/W3060781368,"Institute for Molecules and Materials, Radboud University, Nijmegen, AJ 6525 The Netherlands",institution
113,https://openalex.org/W3060781368,NL,country
114,https://openalex.org/W3060781368,Yingfeng Tu,author
115,https://openalex.org/W3060781368,"School of Pharmaceutical Science, Guangdong Provincial Key Laboratory of New Drug Screening, Southern Medical University, Guangzhou, 510515 China",institution
117,https://openalex.org/W3060781368,Fei Peng,author
120,https://openalex.org/W3060781368,micromotors,keyword
121,https://openalex.org/W2763380231,Taryn Hodgdon,author
122,https://openalex.org/W2763380231,"Department of Radiology, The Ottawa Hospital, University of Ottawa, 501 Smyth Road, Ottawa, Ontario K1H 8L6, Canada",institution
123,https://openalex.org/W2763380231,CA,country
124,https://openalex.org/W2763380231,Raman Danrad,author
125,https://openalex.org/W2763380231,"Department of Radiology, LSU Health Sciences Center-New Orleans, New Orleans, Los Angeles",institution
126,https://openalex.org/W2763380231,US,country
127,https://openalex.org/W2763380231,Midhir J. Patel,author
128,https://openalex.org/W2763380231,"Department of Radiology, University of South Florida Morsani College of Medicine, Tampa, Florida",institution
130,https://openalex.org/W2763380231,Stacy E. Smith,author
131,https://openalex.org/W2763380231,"Department of Radiology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts",institution
133,https://openalex.org/W2763380231,Michael L. Richardson,author
134,https://openalex.org/W2763380231,"Department of Radiology, University of Washington School of Medicine, Seattle, Washington",institution
136,https://openalex.org/W2763380231,David H. Ballard,author
137,https://openalex.org/W2763380231,"Mallinckrodt Institute of Radiology, Washington University School of Medicine, St. Louis, Missouri",institution
139,https://openalex.org/W2763380231,Sayed Ali,author
140,https://openalex.org/W2763380231,"Department of Radiology, Temple University Hospital, Philadelphia, Pennsylvania",institution
142,https://openalex.org/W2763380231,Anthony Paul Trace,author
143,https://openalex.org/W2763380231,"Department of Radiology, Eastern Virginia Medical School, Norfolk, Virginia",institution
145,https://openalex.org/W2763380231,Carolynn M. DeBenedectis,author
146,https://openalex.org/W2763380231,"Department of Radiology, University of Massachusetts Medical School, Worcester, Massachusetts",institution
148,https://openalex.org/W2763380231,Matthew E. Zygmont,author
149,https://openalex.org/W2763380231,"Department of Radiology and Imaging Sciences, Emory University Hospital Midtown, Atlanta, Georgia",institution
151,https://openalex.org/W2763380231,Leon Lenchik,author
152,https://openalex.org/W2763380231,"Department of Radiology, Wake Forest School of Medicine, Winston-Salem, North Carolina",institution
154,https://openalex.org/W2763380231,Summer J. Decker,author
157,https://openalex.org/W2763380231,logistics,keyword
158,https://openalex.org/W2763380231,three-dimensional,keyword
159,https://openalex.org/W4283331763,Vigneshwaran Shanmugam,author
160,https://openalex.org/W4283331763,,institution
161,https://openalex.org/W4283331763,Rajkumar Velu,author
163,https://openalex.org/W4283331763,3d printing,keyword
164,https://openalex.org/W4283331763,nanocomposites,keyword
165,https://openalex.org/W4362660779,Naomi C Paxton,author
166,https://openalex.org/W4362660779,"Phil & Penny Knight Campus for Accelerating Scientific Impact, University of Oregon, Eugene, USA",institution
167,https://openalex.org/W4362660779,US,country
168,https://openalex.org/W4362660779,3d printing,keyword
169,https://openalex.org/W4362660779,quality control,keyword
170,https://openalex.org/W4362660779,models,keyword
171,https://openalex.org/W4362660779,point-of-care,keyword
172,https://openalex.org/W3214199461,Meng-jie Wu,author
173,https://openalex.org/W3214199461,"School of Textile Science and Engineering, Xi'an Polytechnic University, China",institution
174,https://openalex.org/W3214199461,CN,country
175,https://openalex.org/W3214199461,Chao Zhi,author
178,https://openalex.org/W3214199461,Li Tu,author
179,https://openalex.org/W3214199461,"Key Laboratory of Eco-Textiles, Jiangnan University, Ministry of Education, China",institution
181,https://openalex.org/W3214199461,Yong-zhen Wang,author
