,paper_id,target,type
0,https://openalex.org/W4280633077,Mojtaba Molla‐Hosseini,author
1,https://openalex.org/W4280633077,"Mechanical Engineering Department, Sharif University of Technology, Tehran, Iran",institution
2,https://openalex.org/W4280633077,IR,country
3,https://openalex.org/W4280633077,Marjan Hosseini,author
4,https://openalex.org/W4280633077,"Civil Engineering Department, Tehran University, Tehran, Iran",institution
6,https://openalex.org/W4280633077,Gholamreza Vossoughi,author
9,https://openalex.org/W4280633077,Mahdi Sharifzadeh,author
10,https://openalex.org/W4280633077,"Sharif Energy, Water and Environment Institute (SEWEI), Sharif University of Technology, Tehran, Iran",institution
12,https://openalex.org/W2982660856,Yaokun Pang,author
13,https://openalex.org/W2982660856,Laboratory for Soft Machines &amp; ElectronicsSchool of PackagingMichigan State University East Lansing MI 48824 USA,institution
14,https://openalex.org/W2982660856,US,country
15,https://openalex.org/W2982660856,Yunteng Cao,author
18,https://openalex.org/W2982660856,Yihang Chu,author
21,https://openalex.org/W2982660856,Minghong Liu,author
22,https://openalex.org/W2982660856,Ford Energy Storage Research GroupFord Motor Company Dearborn MI 48121 USA,institution
24,https://openalex.org/W2982660856,Kent Snyder,author
27,https://openalex.org/W2982660856,Devin MacKenzie,author
28,https://openalex.org/W2982660856,Departments of Mechanical Engineering and Materials Science and EngineeringUniversity of Washington Seattle WA 98105 USA; Washington Clean Energy TestbedsClean Energy Institute Seattle WA 98105 USA,institution
30,https://openalex.org/W2982660856,Changyong Cao,author
31,https://openalex.org/W2982660856,"Laboratory for Soft Machines & Electronics, School of Packaging, Michigan State University, East Lansing, MI, 48824 USA",institution
33,https://openalex.org/W2982660856,additive manufacturing,keyword
34,https://openalex.org/W2982660856,batteries,keyword
35,https://openalex.org/W4250758456,additive manufacturing,keyword
36,https://openalex.org/W3027189542,F F Ramdhani,author
37,https://openalex.org/W3027189542,,institution
38,https://openalex.org/W3027189542,B Mulyanti,author
40,https://openalex.org/W3027189542,additive manufacturing,keyword
41,https://openalex.org/W3027189542,education,keyword
42,https://openalex.org/W2791540566,R. I. Nigmetzyanov,author
43,https://openalex.org/W2791540566,"MADI Moscow State Technical University of Vehicles and Roads, Moscow, Russia",institution
44,https://openalex.org/W2791540566,RU,country
45,https://openalex.org/W2791540566,S. K. Sundukov,author
48,https://openalex.org/W2791540566,D. S. Fatyukhin,author
51,https://openalex.org/W2791540566,V. V. Grib,author
54,https://openalex.org/W2791540566,S. K. Kartsov,author
57,https://openalex.org/W2791540566,ultrasound,keyword
58,https://openalex.org/W2791540566,additive,keyword
59,https://openalex.org/W4313493350,Mina Ahmadi,author
60,https://openalex.org/W4313493350,"School of Automotive Engineering, Iran University of Science and Technolgy, Tehran, Iran",institution
61,https://openalex.org/W4313493350,IR,country
62,https://openalex.org/W4313493350,Davood Rahmatabadi,author
63,https://openalex.org/W4313493350,"School of Mechanical Engineering, University of Tehran, Tehran, Iran",institution
65,https://openalex.org/W4313493350,Armin Karimi,author
66,https://openalex.org/W4313493350,"Department of Aerospace Engineering, Sharif University of Technology, Tehran, Iran",institution
68,https://openalex.org/W4313493350,Majid Haji Ali Koohpayeh,author
69,https://openalex.org/W4313493350,"Mechanical Engineering Faculty, K. N. Toosi University of Technology, Tehran, Iran",institution
71,https://openalex.org/W4313493350,Ramin Hashemi,author
72,https://openalex.org/W4313493350,"School of Mechanical Engineering, Iran University of Science and Technology, Tehran, Iran",institution
74,https://openalex.org/W4313493350,additive manufacturing,keyword
75,https://openalex.org/W4313493350,sustainable manufacturing,keyword
76,https://openalex.org/W2753178967,Olivier Chandran,author
77,https://openalex.org/W2753178967,"CSEM SA, Neuchatel, Switzerland; EPFL, Microcity, Neuchatel, Switzerland",institution
78,https://openalex.org/W2753178967,CH,country
79,https://openalex.org/W2753178967,Sebastien Lani,author
80,https://openalex.org/W2753178967,"CSEM SA, Neuchatel, Switzerland",institution
82,https://openalex.org/W2753178967,Danick Briand,author
83,https://openalex.org/W2753178967,"EPFL, Microcity, Neuchatel, Switzerland",institution
85,https://openalex.org/W2753178967,Barthelemy Dunan,author
88,https://openalex.org/W2753178967,Guy Voirin,author
91,https://openalex.org/W2753178967,surfaces,keyword
92,https://openalex.org/W2753178967,manufacturing,keyword
93,https://openalex.org/W3008704476,L.A. Nefedovaa,author
