,paper_id,target,type
0,https://openalex.org/W2792301682,Anton A. Zhilenkov,author
1,https://openalex.org/W2792301682,"Faculty of Control Systems and Robotics, Department of Control Systems and Informatics, ITMO University, Saint Petersburg, Russia",institution
2,https://openalex.org/W2792301682,RU,country
3,https://openalex.org/W2792301682,Ignat R. Epifantsev,author
6,https://openalex.org/W2792301682,autonomous navigation systems,keyword
7,https://openalex.org/W2792301682,trajectory planning,keyword
8,https://openalex.org/W2792301682,technical vision,keyword
9,https://openalex.org/W2964536243,Chunxue Wu,author
10,https://openalex.org/W2964536243,School of Optical‐Electrical and Computer Engineering University of Shanghai for Science and Technology  Shanghai China,institution
11,https://openalex.org/W2964536243,CN,country
12,https://openalex.org/W2964536243,Bobo Ju,author
15,https://openalex.org/W2964536243,Yan Wu,author
16,https://openalex.org/W2964536243,"[School of Public and Environmental Affairs, Indiana University, Bloomington, CO, USA]",institution
17,https://openalex.org/W2964536243,US,country
18,https://openalex.org/W2964536243,Xiao Lin,author
19,https://openalex.org/W2964536243,"Dept. of Comput. Sci., Shanghai Normal Univ., Shanghai, China",institution
21,https://openalex.org/W2964536243,Naixue Xiong,author
22,https://openalex.org/W2964536243,"College of Intelligence and Computing Tianjin University Tianjin, China",institution
24,https://openalex.org/W2964536243,Guangquan Xu,author
27,https://openalex.org/W2964536243,Hongyan Li,author
28,https://openalex.org/W2964536243,"School of Information and Communication Engineering, Hubei University of Economics, Wuhan, China; State Key Laboratory for Information Engineering in Surveying, Mapping, and Remote Sensing, Wuhan University, Wuhan, China",institution
30,https://openalex.org/W2964536243,Xuefeng Liang,author
31,https://openalex.org/W2964536243,"School of Information, Kyoto University, Kyoto, CO, Japan",institution
32,https://openalex.org/W2964536243,JP,country
33,https://openalex.org/W2964536243,uav autonomous target search,keyword
34,https://openalex.org/W2964536243,deep reinforcement learning,keyword
35,https://openalex.org/W2791057578,Anton A. Zhilenkov,author
36,https://openalex.org/W2791057578,"Faculty of Control Systems and Robotics, Department of Control Systems and Informatics, ITMO University, Saint Petersburg, Russia",institution
37,https://openalex.org/W2791057578,RU,country
38,https://openalex.org/W2791057578,Ignat R. Epifantsev,author
41,https://openalex.org/W2791057578,autonomous navigation,keyword
42,https://openalex.org/W2791057578,drone,keyword
43,https://openalex.org/W2791057578,forest trails,keyword
44,https://openalex.org/W4386431128,Tagir Muslimov,author
45,https://openalex.org/W4386431128,"Ufa University of Science and Technology, Ufa, Russia",institution
46,https://openalex.org/W4386431128,RU,country
47,https://openalex.org/W4386431128,drones,keyword
48,https://openalex.org/W4386431128,collision avoidance,keyword
49,https://openalex.org/W4386431128,swarm,keyword
50,https://openalex.org/W4386431128,vector,keyword
51,https://openalex.org/W4386431128,curl-free,keyword
52,https://openalex.org/W3020112479,Hamid Didari Khamseh Motlagh,author
53,https://openalex.org/W3020112479,"Advanced Robotics and Automated Systems (ARAS), Faculty of Electrical Engineering, K. N. Toosi University of Technology",institution
54,https://openalex.org/W3020112479,IR,country
55,https://openalex.org/W3020112479,Faraz Lotfi,author
58,https://openalex.org/W3020112479,Hamid D. Taghirad,author
61,https://openalex.org/W3020112479,Saeed Bakhshi Germi,author
62,https://openalex.org/W3020112479,"Machine Learning Research Group, Tampere University,Tampere,Finland",institution
63,https://openalex.org/W3020112479,FI,country
64,https://openalex.org/W3020112479,visual slam,keyword
65,https://openalex.org/W3020112479,position estimation,keyword
66,https://openalex.org/W3020112479,drones,keyword
67,https://openalex.org/W3020112479,imu,keyword
68,https://openalex.org/W3020112479,gps-denied,keyword
69,https://openalex.org/W3013167434,Wu Chen,author
70,https://openalex.org/W3013167434,"Northwestern Polytechnical University, Xi’an  China",institution
71,https://openalex.org/W3013167434,CN,country
72,https://openalex.org/W3013167434,Jiajia Liu,author
75,https://openalex.org/W3013167434,Hongzhi Guo,author
78,https://openalex.org/W3013167434,Nei Kato,author
79,https://openalex.org/W3013167434,"[Tohoku University, Sendai, Japan]",institution
80,https://openalex.org/W3013167434,JP,country
81,https://openalex.org/W3013167434,intelligent drone swarm,keyword
82,https://openalex.org/W3013167434,robust,keyword
83,https://openalex.org/W4384834237,Sergey Berkovich,author
84,https://openalex.org/W4384834237,"Department of Navigation and Geodetic Systems, Institute of Engineering Physics, Serpukhov, Russian",institution
85,https://openalex.org/W4384834237,RU,country
86,https://openalex.org/W4384834237,Nikolay Kotov,author
89,https://openalex.org/W4384834237,Ramil Bikmaev,author
92,https://openalex.org/W4384834237,Alexey Sholohov,author
95,https://openalex.org/W4384834237,place recognition,keyword
96,https://openalex.org/W4384834237,simultaneous localization,keyword
97,https://openalex.org/W4384834237,siamese neural network,keyword
98,https://openalex.org/W4384834237,sparse sensing,keyword
99,https://openalex.org/W3217338208,Anton Filatov,author
100,https://openalex.org/W3217338208,"Faculty of Computer Science and Technology, Saint Petersburg Electrotechnical University “LETI”, 197022 Saint Petersburg, Russia",institution
101,https://openalex.org/W3217338208,RU,country
102,https://openalex.org/W3217338208,Mark Zaslavskiy,author
105,https://openalex.org/W3217338208,Kirill Krinkin,author
108,https://openalex.org/W3217338208,building,keyword
109,https://openalex.org/W3217338208,3d,keyword
110,https://openalex.org/W3217338208,reconstruction,keyword
111,https://openalex.org/W3217338208,multi-drone,keyword
112,https://openalex.org/W4382050690,Zhanibek Darush,author
113,https://openalex.org/W4382050690,"Intelligent Space Robotics Laboratory, Space CREI, Skolkovo Institute of Science and Technology, Moscow, Russian Federation",institution
114,https://openalex.org/W4382050690,RU,country
115,https://openalex.org/W4382050690,Mikhail Martynov,author
118,https://openalex.org/W4382050690,Aleksey Fedoseev,author
121,https://openalex.org/W4382050690,Aleksei Shcherbak,author
124,https://openalex.org/W4382050690,Dzmitry Tsetserukou,author
127,https://openalex.org/W4382050690,morphogenetic leader drones,keyword
128,https://openalex.org/W4382050690,heterogeneous swarmgear,keyword
129,https://openalex.org/W4382050690,virtual impedance links,keyword
130,https://openalex.org/W4382050690,inspection,keyword
131,https://openalex.org/W4382050690,multi-agent,keyword
132,https://openalex.org/W4293057563,Ayush Gupta,author
133,https://openalex.org/W4293057563,"Skoltech,Moscow,Russia",institution
134,https://openalex.org/W4293057563,RU,country
135,https://openalex.org/W4293057563,Ahmed Baza,author
138,https://openalex.org/W4293057563,Ekaterina Dorzhieva,author
141,https://openalex.org/W4293057563,Mert Alper,author
144,https://openalex.org/W4293057563,Mariia Makarova,author
147,https://openalex.org/W4293057563,Stepan Perminov,author
150,https://openalex.org/W4293057563,Aleksey Fedoseev,author
153,https://openalex.org/W4293057563,Dzmitry Tsetserukou,author
156,https://openalex.org/W4293057563,robust autonomous landing,keyword
157,https://openalex.org/W4293057563,drones,keyword
158,https://openalex.org/W4293057563,heterogeneous swarmhive,keyword
159,https://openalex.org/W4293057563,robot,keyword
160,https://openalex.org/W3138599840,N A Uvarov,author
161,https://openalex.org/W3138599840,"Department of Innovative Technologies, National Research Tomsk State University, Tomsk, Russia",institution
162,https://openalex.org/W3138599840,RU,country
163,https://openalex.org/W3138599840,V I Syryamkin,author
166,https://openalex.org/W3181803073,A. S. Kostin,author
