,paper_id,target,type
0,https://openalex.org/W3190378040,V A Rogov,author
1,https://openalex.org/W3190378040,People's Friendship University of Russia,institution
2,https://openalex.org/W3190378040,RU,country
3,https://openalex.org/W3190378040,Рогов Владимир Александрович,author
4,https://openalex.org/W3190378040,Российский университет дружбы народов,institution
5,https://openalex.org/W3190378040,M I Shkarupa,author
6,https://openalex.org/W3190378040,Obninsk Research and Production Enterprise Technologiya,institution
7,https://openalex.org/W3190378040,Шкарупа Михаил Игоревич,author
8,https://openalex.org/W3190378040,ОАО Обнинское научно-производственное предприятие «Технология»,institution
9,https://openalex.org/W3190378040,A C Veliz,author
12,https://openalex.org/W3190378040,Велис Алехандро К,author
14,https://openalex.org/W3190378040,composite materials,keyword
15,https://openalex.org/W3190378040,classification,keyword
16,https://openalex.org/W4361990631,N. Terekhova,author
17,https://openalex.org/W4361990631,"Bauman Moscow State Technical University (BMSTU), 2nd Baumanskaya Str., bldg. 1, 105005, Moscow, Russian Federation",institution
18,https://openalex.org/W4361990631,RU,country
19,https://openalex.org/W4361990631,A. Kumashkova,author
22,https://openalex.org/W4361990631,M. Dyukov,author
25,https://openalex.org/W4361990631,composite materials,keyword
26,https://openalex.org/W3123300812,Olga Mohamed Hassan Bait Said,author
27,https://openalex.org/W3123300812,Peoples' Friendship University of Russia,institution
28,https://openalex.org/W3123300812,RU,country
29,https://openalex.org/W3123300812,S. V. Razumova,author
32,https://openalex.org/W3123300812,E. V. Velichko,author
35,https://openalex.org/W3123300812,composite,keyword
36,https://openalex.org/W3123300812,materials,keyword
37,https://openalex.org/W2070389099,S. E. Artemenko,author
38,https://openalex.org/W2070389099,Saratov State Technical University,institution
39,https://openalex.org/W2070389099,RU,country
40,https://openalex.org/W2070389099,Yu. A. Kadykova,author
43,https://openalex.org/W2070389099,composite materials,keyword
44,https://openalex.org/W2070389099,hybrid,keyword
45,https://openalex.org/W4207013862,Akbar Heidarzadeh,author
46,https://openalex.org/W4207013862,"Department of Materials Engineering, Azarbaijan Shahid Madani University, Tabriz, Iran",institution
47,https://openalex.org/W4207013862,IR,country
48,https://openalex.org/W4207013862,Roghayeh Mohammadzadeh,author
51,https://openalex.org/W4207013862,Dermot Brabazon,author
52,https://openalex.org/W4207013862,"I-Form, Advanced Manufacturing Research Centre, and Advanced Processing Technology Research Centre, School of Mechanical and Manufacturing Engineering, Dublin City University, Dublin, Ireland",institution
53,https://openalex.org/W4207013862,IE,country
54,https://openalex.org/W4207013862,metallic composite materials,keyword
55,https://openalex.org/W4207013862,composite materials,keyword
56,https://openalex.org/W4207013862,green,keyword
57,https://openalex.org/W4207013862,production,keyword
58,https://openalex.org/W1970538169,Yongxiang Yang,author
59,https://openalex.org/W1970538169,"Anhui University of Technology, 243002, Ma’anshan, China; Department of Materials Science and Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, The Netherlands; Northeastern University, 110819, Shenyang, China",institution
60,https://openalex.org/W1970538169,CN,country
61,https://openalex.org/W1970538169,NL,country
62,https://openalex.org/W1970538169,Rob Boom,author
63,https://openalex.org/W1970538169,"Department of Materials Science and Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, The Netherlands",institution
65,https://openalex.org/W1970538169,Brijan Irion,author
66,https://openalex.org/W1970538169,"Aircraft End-of-Life Solutions (AELS) BV, Molengraaffsingel 12, 2629 JD Delft, The Netherlands",institution
68,https://openalex.org/W1970538169,Derk-Jan van Heerden,author
71,https://openalex.org/W1970538169,Pieter Kuiper,author
72,https://openalex.org/W1970538169,"ARN (Auto Recycling Nederland), P.O. Box 12252, 1100 AG Amsterdam Zuidoost, The Netherlands",institution
74,https://openalex.org/W1970538169,Hans de Wit,author
77,https://openalex.org/W1970538169,recycling,keyword
78,https://openalex.org/W1970538169,composite materials,keyword
79,https://openalex.org/W2993986999,E.A. Khadykina,author
80,https://openalex.org/W2993986999,Maykop state technological University,institution
81,https://openalex.org/W2993986999,RU,country
82,https://openalex.org/W2993986999,Z.A. Meretukov,author
83,https://openalex.org/W2993986999,Maikop state technological University,institution
85,https://openalex.org/W2993986999,plant raw materials,keyword
86,https://openalex.org/W2993986999,composite material,keyword
87,https://openalex.org/W4386105193,Yu. M. Evtushenko,author
88,https://openalex.org/W4386105193,"Enikolopov Institute of Synthetic Polymeric Materials, Russian Academy of Sciences, 117393, Moscow, Russia",institution
89,https://openalex.org/W4386105193,RU,country
90,https://openalex.org/W4386105193,Yu. A. Grigorev,author
93,https://openalex.org/W4386105193,S. A. Levanov,author
94,https://openalex.org/W4386105193,"OOO “STC Intensive Recycling Technologies”, 141009, Mytishchi, Moscow oblast, Russia",institution
96,https://openalex.org/W4386105193,basalts,keyword
97,https://openalex.org/W4386105193,composite materials,keyword
98,https://openalex.org/W4382117794,Anatoly Petrovich PICHUGIN,author
99,https://openalex.org/W4382117794,Novosibirsk state University of architecture and civil engineering,institution
100,https://openalex.org/W4382117794,RU,country
101,https://openalex.org/W4382117794,Olga Evgenievna SMIRNOVA,author
104,https://openalex.org/W4382117794,Vladimir Fedorovich KHRITANKOV,author
107,https://openalex.org/W4382117794,organic,keyword
108,https://openalex.org/W4382117794,composite,keyword
109,https://openalex.org/W4382117794,materials,keyword
110,https://openalex.org/W2988242367,V. Vlasova,author
111,https://openalex.org/W2988242367,"Bauman Moscow State Technical University, Moscow, Russia, 105005",institution
112,https://openalex.org/W2988242367,RU,country
113,https://openalex.org/W2988242367,composite materials,keyword
114,https://openalex.org/W2988242367,aircraft,keyword
115,https://openalex.org/W4212856811,V. G. Nazarov,author
116,https://openalex.org/W4212856811,Moscow Polytechnical University,institution
117,https://openalex.org/W4212856811,RU,country
118,https://openalex.org/W4212856811,A. V. Dedov,author
119,https://openalex.org/W4212856811,"Moscow Polytechnical University, Moscow, Russia",institution
121,https://openalex.org/W4212856811,composition fiber materials,keyword
122,https://openalex.org/W4212856811,permeability,keyword
123,https://openalex.org/W2497488654,A. N. Kachevsky,author
124,https://openalex.org/W2497488654,"Institute of Metallurgy, Academy of Sciences of USSR, Moscow, USSR",institution
125,https://openalex.org/W2497488654,RU,country
126,https://openalex.org/W2497488654,M. Kh. Shorshorov,author
129,https://openalex.org/W2497488654,vibration,keyword
130,https://openalex.org/W2497488654,materials,keyword
131,https://openalex.org/W4380624081,M. Saber,author
132,https://openalex.org/W4380624081,"Department of Aerospace Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran",institution
133,https://openalex.org/W4380624081,IR,country
134,https://openalex.org/W4380624081,H. Hosseini-Toudeshky,author
137,https://openalex.org/W4380624081,glass/siloxane interface,keyword
138,https://openalex.org/W4380624081,materials,keyword
139,https://openalex.org/W3046769218,A. A. Popov,author
140,https://openalex.org/W3046769218,"Emanuel Institute of Biochemical Physics, Russian Academy of Sciences, Moscow, Russia; Plekhanov Russian University of Economics, Moscow, Russia",institution
141,https://openalex.org/W3046769218,RU,country
142,https://openalex.org/W3046769218,A. K. Zykova,author
145,https://openalex.org/W3046769218,E. E. Mastalygina,author
148,https://openalex.org/W3046769218,biodegradable composite materials,keyword
149,https://openalex.org/W3213840734,M.V. Gravit,author
150,https://openalex.org/W3213840734,Peter the Great St. Petersburg Polytechnic University,institution
151,https://openalex.org/W3213840734,RU,country
152,https://openalex.org/W3213840734,Y.G. Lazarev,author
155,https://openalex.org/W3213840734,E.S. Vasyutkin,author
156,https://openalex.org/W3213840734,Composite Technologies and Equipment LLC,institution
157,https://openalex.org/W3213840734,A.V. Malcheva,author
160,https://openalex.org/W3213840734,M.A. Semenov,author
163,https://openalex.org/W3213840734,fire,keyword
164,https://openalex.org/W3213840734,materials,keyword
165,https://openalex.org/W2135120120,Yuriy I. Dimitrienko,author
166,https://openalex.org/W2135120120,"Bauman State Technical University, Moscow, Russia",institution
167,https://openalex.org/W2135120120,RU,country
168,https://openalex.org/W2135120120,materials,keyword
169,https://openalex.org/W2135120120,composite,keyword
170,https://openalex.org/W2921248521,Vladimir S. Shorkin,author
171,https://openalex.org/W2921248521,"Orel State University named after. I.S. Turgenev, Orel, Russia",institution
172,https://openalex.org/W2921248521,RU,country
173,https://openalex.org/W2921248521,Victoria Yu. Presnetsova,author
176,https://openalex.org/W2921248521,Vadim M. Presniakov,author
179,https://openalex.org/W2921248521,Sergey N. Romashin,author
182,https://openalex.org/W2921248521,Larisa Yu. Frolenkova,author
185,https://openalex.org/W2921248521,Svetlana I. Yakushina,author
188,https://openalex.org/W2921248521,initial damage,keyword
189,https://openalex.org/W2921248521,composite materials,keyword
190,https://openalex.org/W2086243926,A. V. Belyakov,author
191,https://openalex.org/W2086243926,"D. I. Mendeleev University of Chemical Engineering,, Moscow,, Russia.",institution
192,https://openalex.org/W2086243926,RU,country
193,https://openalex.org/W2086243926,D. A. Ivanov,author
194,https://openalex.org/W2086243926,"D. I. Mendeleev University of Chemical Engineering, Moscow, Russia; K. É. Tsiolkovskii State University of Aviation Technology, Moscow, Russia",institution
196,https://openalex.org/W2086243926,G. A. Fomina,author
199,https://openalex.org/W2086243926,lanxide,keyword
200,https://openalex.org/W2086243926,material,keyword
201,https://openalex.org/W2110601800,Y. I. Dimitrienko,author
202,https://openalex.org/W2110601800,"Bauman Moscow State Technical University,",institution
203,https://openalex.org/W2110601800,RU,country
204,https://openalex.org/W2110601800,A. P. Sokolov,author
207,https://openalex.org/W2110601800,elastic properties,keyword
208,https://openalex.org/W2110601800,composite materials,keyword
209,https://openalex.org/W2095771153,Nikolai P. Lyakishev,author
210,https://openalex.org/W2095771153,"Institute of Metallurgy named after A.A.Baikov the USSR Academy of Sciences, Moscow, USSR",institution
211,https://openalex.org/W2095771153,RU,country
212,https://openalex.org/W2095771153,Ivan M. Kopiev,author
215,https://openalex.org/W2095771153,materials,keyword
216,https://openalex.org/W2095771153,composite,keyword
217,https://openalex.org/W2095771153,metal-matrix,keyword
218,https://openalex.org/W4361199318,E. Y. Lyashenko,author
219,https://openalex.org/W4361199318,Joint-stock company “G.S. Petrov Institute of Plastics”,institution
220,https://openalex.org/W4361199318,RU,country
221,https://openalex.org/W4361199318,K. A. Yakovleva,author
222,https://openalex.org/W4361199318,Federal State-Funded Educational Institution of Higher Education “Mendeleev University of Chemical Technology of Russia” (Mendeleev University of Chemical Technology),institution
224,https://openalex.org/W4361199318,T. I. Andreeva,author
227,https://openalex.org/W4361199318,T. N. Prudskova,author
230,https://openalex.org/W4361199318,T. P. Kravchenko,author
233,https://openalex.org/W4361199318,I. Yu. Gorbunova,author
236,https://openalex.org/W4361199318,N. G. Davidyants,author
239,https://openalex.org/W4361199318,composite materials,keyword
240,https://openalex.org/W4251659643,Yu. I. Dimitrienko,author
241,https://openalex.org/W4251659643,"Department of Computational Mathematics and Mathematical Physics, Bauman Moscow State Technical University, Moscow, Russia",institution
242,https://openalex.org/W4251659643,RU,country
243,https://openalex.org/W4251659643,materials,keyword
244,https://openalex.org/W4251659643,composite,keyword
245,https://openalex.org/W3085109106,Vladimir Gavrish,author
246,https://openalex.org/W3085109106,"Scientific-educational Center “Advanced Technologies and Materials”, Sevastopol State University, 33 Universitetskaya str, 299053 Sevastopol, Russian Federation",institution
247,https://openalex.org/W3085109106,RU,country
248,https://openalex.org/W3085109106,Natalya Cherkashina,author
