,paper_id,target,type
0,https://openalex.org/W3047636816,M. A. Smirnov,author
1,https://openalex.org/W3047636816,Federal State Military Educational Institution of Higher Professional Education “Military Aerospace Defense Academy named after Marshal of the Soviet Union G.K. Zhukov” of the Russian Federation Department of Defense,institution
2,https://openalex.org/W3047636816,RU,country
3,https://openalex.org/W3047636816,hypersonic cruise missile,keyword
4,https://openalex.org/W3047636816,air defense missile system,keyword
5,https://openalex.org/W3047636816,dynamic target,keyword
6,https://openalex.org/W3047636816,adms,keyword
7,https://openalex.org/W3047636816,scattering,keyword
8,https://openalex.org/W3011140436,Nikolai E. Gaiduchenko,author
9,https://openalex.org/W3011140436,"Moscow Institute of Physics and Technology, Moscow, Russia",institution
10,https://openalex.org/W3011140436,RU,country
11,https://openalex.org/W3011140436,Pavel A. Gritsyk,author
14,https://openalex.org/W3011140436,neural network,keyword
15,https://openalex.org/W3011140436,vehicle,keyword
16,https://openalex.org/W3011140436,classification,keyword
17,https://openalex.org/W4365397980,A. Chekov,author
18,https://openalex.org/W4365397980,"Moscow State Institute of International Relations, The Ministry of Foreign Affairs of Russian Federation (MGIMO University), 76, Vernadskogo Prosp., Moscow, 119454, Russian Federation",institution
19,https://openalex.org/W4365397980,RU,country
20,https://openalex.org/W4365397980,policy,keyword
21,https://openalex.org/W4365397980,defense,keyword
22,https://openalex.org/W2971000640,D. Allahverdy,author
23,https://openalex.org/W2971000640,"§Science and Research Branch, Islamic Azad University, Tehran, Iran",institution
24,https://openalex.org/W2971000640,IR,country
25,https://openalex.org/W2971000640,A. Fakharian,author
26,https://openalex.org/W2971000640,"Faculty of Electrical, Biomedical and Mechatronics Engineering , Qazvin Branch, Islamic Azad University , Qazvin , Iran",institution
28,https://openalex.org/W2971000640,hypersonic missile,keyword
29,https://openalex.org/W2971000640,altitude subsysytem,keyword
30,https://openalex.org/W2971000640,controller,keyword
31,https://openalex.org/W2971000640,back-stepping,keyword
32,https://openalex.org/W2971000640,takagi-sugeno,keyword
33,https://openalex.org/W2989851323,Davood Allahverdy,author
34,https://openalex.org/W2989851323,"§Science and Research Branch, Islamic Azad University, Tehran, Iran",institution
35,https://openalex.org/W2989851323,IR,country
36,https://openalex.org/W2989851323,Ahmad Fakharian,author
37,https://openalex.org/W2989851323,"Faculty of Electrical, Biomedical and Mechatronics Engineering , Qazvin Branch, Islamic Azad University , Qazvin , Iran",institution
