,paper_id,target,type
0,https://openalex.org/W4285389467,Afshin Hedayat,author
1,https://openalex.org/W4285389467,"Reactor and Nuclear Safety Research School, Nuclear Science and Technology Research Institute (NSTRI) , End of North Karegar Street, P.O. Box: 14395-836 , Tehran , Iran",institution
2,https://openalex.org/W4285389467,IR,country
3,https://openalex.org/W4285389467,advanced nuclear reactors,keyword
4,https://openalex.org/W4285389467,sustainable energy supplies,keyword
5,https://openalex.org/W4285389467,non-electrical,keyword
6,https://openalex.org/W3010970006,K. Karichev,author
7,https://openalex.org/W3010970006,National Research Tomsk Polytechnic University,institution
8,https://openalex.org/W3010970006,RU,country
9,https://openalex.org/W3010970006,A. Kudrov,author
12,https://openalex.org/W3010970006,S. Lavrinenko,author
15,https://openalex.org/W3010970006,spherical fuel cell,keyword
16,https://openalex.org/W3010970006,high-temperature,keyword
17,https://openalex.org/W2931816982,Michael I. Ojovan,author
18,https://openalex.org/W2931816982,"Department of Materials, Imperial College London, United Kingdom; International Atomic Energy Agency, Wien, Austria",institution
19,https://openalex.org/W2931816982,AT,country
20,https://openalex.org/W2931816982,GB,country
21,https://openalex.org/W2931816982,William E. Lee,author
22,https://openalex.org/W2931816982,"Centre for Nuclear Engineering, Imperial College London, United Kingdom; Nuclear Futures Institute, Bangor University, United Kingdom",institution
24,https://openalex.org/W2931816982,Stepan N. Kalmykov,author
25,https://openalex.org/W2931816982,"Department of Radiochemistry, Faculty of Chemistry, Lomonosov Moscow State University, Russian Federation",institution
26,https://openalex.org/W2931816982,RU,country
27,https://openalex.org/W2931816982,energy,keyword
28,https://openalex.org/W2931816982,power,keyword
29,https://openalex.org/W4385354459,Ali Zamani Paydar,author
30,https://openalex.org/W4385354459,"Amirkabir University of Technology, Tehran, Iran",institution
31,https://openalex.org/W4385354459,IR,country
32,https://openalex.org/W4385354459,Seyed Kamal Mousavi Balgehshiri,author
35,https://openalex.org/W4385354459,Bahman Zohuri,author
36,https://openalex.org/W4385354459,"Golden Gate University, San Francisco, CA, United States",institution
37,https://openalex.org/W4385354459,US,country
38,https://openalex.org/W4385354459,fission,keyword
39,https://openalex.org/W4385354459,pipe,keyword
40,https://openalex.org/W4385354280,Ali Zamani Paydar,author
41,https://openalex.org/W4385354280,"Amirkabir University of Technology, Tehran, Iran",institution
42,https://openalex.org/W4385354280,IR,country
43,https://openalex.org/W4385354280,Seyed Kamal Mousavi Balgehshiri,author
46,https://openalex.org/W4385354280,Bahman Zohuri,author
47,https://openalex.org/W4385354280,"Golden Gate University, San Francisco, CA, United States",institution
48,https://openalex.org/W4385354280,US,country
49,https://openalex.org/W4385354280,nuclear thermal hydraulics,keyword
50,https://openalex.org/W4385354280,safety,keyword
51,https://openalex.org/W4385354280,heat,keyword
52,https://openalex.org/W2398377145,A.G. Kalashnikov,author
53,https://openalex.org/W2398377145,"Joint Stock Company ""State Scientific Centre of the Russian Federation – Institute for Physics and Power Engineering named after A. I. Leypunsky"" (IPPE), 1, Bondarenko Sq., Obninsk, Kaluga Region, 249033 Russia",institution
54,https://openalex.org/W2398377145,RU,country
55,https://openalex.org/W2398377145,A.L. Moseev,author
58,https://openalex.org/W2398377145,V.M. Dekusar,author
61,https://openalex.org/W2398377145,V.V. Korobeynikov,author
64,https://openalex.org/W2398377145,P.A. Moseev,author
67,https://openalex.org/W2398377145,nuclear fuel cycle,keyword
68,https://openalex.org/W2398377145,cycle code,keyword
69,https://openalex.org/W2398377145,nuclear fuel,keyword
70,https://openalex.org/W2486603451,S. Katyshev,author
71,https://openalex.org/W2486603451,Ural Federal University >  >  >  >,institution
72,https://openalex.org/W2486603451,RU,country
73,https://openalex.org/W2486603451,L. Teslyuk,author
76,https://openalex.org/W2486603451,ionic melts,keyword
77,https://openalex.org/W3196180701,T. S. Dikova,author
78,https://openalex.org/W3196180701,"National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), 31 Kashirskoe shosse, 115409 Moscow, Russia",institution
79,https://openalex.org/W3196180701,RU,country
80,https://openalex.org/W3196180701,Yu E. Karazhelevskaya,author
83,https://openalex.org/W3196180701,A. M. Terekhova,author
86,https://openalex.org/W3196180701,reactor,keyword
87,https://openalex.org/W3196180701,cm,keyword
88,https://openalex.org/W2031265405,A.V. Zrodnikov,author
89,https://openalex.org/W2031265405,"State Scientific Center of Russian Federation Institute for Physics and Power Engineering, 1 Bondarenko sq., Obninsk 249033, Kaluga Region, Russia",institution
90,https://openalex.org/W2031265405,RU,country
91,https://openalex.org/W2031265405,G.I. Toshinsky,author
94,https://openalex.org/W2031265405,O.G. Komlev,author
97,https://openalex.org/W2031265405,Yu.G. Dragunov,author
98,https://openalex.org/W2031265405,"Experimental Design Bureau “Gidropress”, 21 Ordzhonikidze st., Podolsk 142103, Moscow Region, Russia",institution
100,https://openalex.org/W2031265405,V.S. Stepanov,author
