,paper_id,target,type
0,https://openalex.org/W2034477669,A. N. Oraevsky,author
1,https://openalex.org/W2034477669,"Lebedev Physics Institute, Russian Academy of Sciences, Moscow, Russia",institution
2,https://openalex.org/W2034477669,RU,country
3,https://openalex.org/W2034477669,coherent computers,keyword
4,https://openalex.org/W2034477669,quantum,keyword
5,https://openalex.org/W4253984955,P.K. Amiri,author
6,https://openalex.org/W4253984955,Sharif University of Technology in Tehran,institution
7,https://openalex.org/W4253984955,IR,country
8,https://openalex.org/W4253984955,quantum,keyword
9,https://openalex.org/W2294265358,P.K. Amiri,author
10,https://openalex.org/W2294265358,"Dept. Of Electr. Eng., Sharif Univ. of Technol., Tehran, Iran",institution
11,https://openalex.org/W2294265358,IR,country
12,https://openalex.org/W2294265358,quantum,keyword
13,https://openalex.org/W2128130806,Anatolii N Oraevsky,author
14,https://openalex.org/W2128130806,"P.N. Lebedev Physics Institute, Russian Academy of Sciences, Moscow, Russian Federation",institution
15,https://openalex.org/W2128130806,RU,country
16,https://openalex.org/W2128130806,quantum computers,keyword
17,https://openalex.org/W3129672612,Sergei Kurgalin,author
18,https://openalex.org/W3129672612,"Digital Technologies, Voronezh State University, Voronezh, Russia",institution
19,https://openalex.org/W3129672612,RU,country
20,https://openalex.org/W3129672612,Sergei Borzunov,author
23,https://openalex.org/W3129672612,quantum,keyword
24,https://openalex.org/W3129672612,model,keyword
25,https://openalex.org/W2084019889,A. Yu. Kitaev,author
26,https://openalex.org/W2084019889,"California Institute of Technology, Pasadena, CA",institution
27,https://openalex.org/W2084019889,US,country
28,https://openalex.org/W2084019889,A. H. Shen,author
29,https://openalex.org/W2084019889,"Independent University of Moscow, Moscow, Russia",institution
30,https://openalex.org/W2084019889,RU,country
31,https://openalex.org/W2084019889,M. N. Vyalyi,author
34,https://openalex.org/W2084019889,quantum,keyword
35,https://openalex.org/W2084019889,computation,keyword
36,https://openalex.org/W1480434469,S Lloyd,author
37,https://openalex.org/W1480434469,MIT; Mechanical Engineering,institution
38,https://openalex.org/W1480434469,RU,country
39,https://openalex.org/W1480434469,quantum,keyword
40,https://openalex.org/W1480434469,devices,keyword
41,https://openalex.org/W3104397897,Xin Zhang,author
42,https://openalex.org/W3104397897,"Synergetic Innovation Center of Quantum Information & Quantum Physics, University of Science and Technology of China, Hefei, 230026, China.",institution
43,https://openalex.org/W3104397897,CN,country
44,https://openalex.org/W3104397897,Hai Ou Li,author
47,https://openalex.org/W3104397897,Gang Cao,author
50,https://openalex.org/W3104397897,Ming Xiao,author
53,https://openalex.org/W3104397897,Guang Can Guo,author
56,https://openalex.org/W3104397897,semiconductor,keyword
57,https://openalex.org/W3104397897,quantum,keyword
58,https://openalex.org/W3104397897,computation,keyword
59,https://openalex.org/W2949778930,Seth Lloyd,author
60,https://openalex.org/W2949778930,-MIT,institution
61,https://openalex.org/W2949778930,RU,country
62,https://openalex.org/W2949778930,quantum,keyword
63,https://openalex.org/W2949778930,computer,keyword
64,https://openalex.org/W2949110438,Michael H. Freedman,author
65,https://openalex.org/W2949110438,"(M. H. Freedman) Microsoft Research, One Microsoft Way, Redmond, Washington 98052",institution
66,https://openalex.org/W2949110438,US,country
67,https://openalex.org/W2949110438,Alexei Kitaev,author
68,https://openalex.org/W2949110438,"(A. Kitaev) On leave from L.D. Landau Institute for Theoretical Physics, Kosygina St. 2, Moscow, 117940, Russia; Microsoft Research, One Microsoft Way, Redmond, Washington 98052",institution
69,https://openalex.org/W2949110438,RU,country
71,https://openalex.org/W2949110438,Michael J. Larsen,author
72,https://openalex.org/W2949110438,"(M. J. Larsen and Z. Wang) Indiana University, Department of Mathematics, Bloomington, Indiana 47405",institution
74,https://openalex.org/W2949110438,Zhenghan Wang,author
