,paper_id,target,type
0,https://openalex.org/W2942446037,Gautam Choubey,author
1,https://openalex.org/W2942446037,"Department of Mechanical Engineering, MITS-UGC Autonomous Institute, Andhra Pradesh, 517325, India",institution
2,https://openalex.org/W2942446037,IN,country
3,https://openalex.org/W2942446037,Yuvarajan Devarajan,author
6,https://openalex.org/W2942446037,Wei Huang,author
7,https://openalex.org/W2942446037,"Science and Technology on Scramjet Laboratory, National University of Defense Technology, Changsha, Hunan 410073, PR China",institution
8,https://openalex.org/W2942446037,CN,country
9,https://openalex.org/W2942446037,Kulmani Mehar,author
12,https://openalex.org/W2942446037,Manvendra Tiwari,author
15,https://openalex.org/W2942446037,K.M. Pandey,author
16,https://openalex.org/W2942446037,"Department of Mechanical Engineering, National Institute of Technology Silchar, Assam, India",institution
18,https://openalex.org/W2942446037,scramjet,keyword
19,https://openalex.org/W2942446037,cavity-based,keyword
20,https://openalex.org/W4252497720,Mostafa Barzegar Gerdroodbary,author
21,https://openalex.org/W4252497720,"Department of Mechanical Engineering, Babol Noshirvani University of Technology, Babol, Iran",institution
22,https://openalex.org/W4252497720,IR,country
23,https://openalex.org/W4252497720,introduction,keyword
24,https://openalex.org/W2115561360,V. Semenov,author
25,https://openalex.org/W2115561360,"CIAMB, Moscow, Russia",institution
26,https://openalex.org/W2115561360,RU,country
27,https://openalex.org/W2115561360,V. Kislykh,author
28,https://openalex.org/W2115561360,"TsNIIMASh, Korolev, Russia",institution
30,https://openalex.org/W2115561360,A. Kondratov,author
31,https://openalex.org/W2115561360,"LII, Zhukovsky, Russia",institution
33,https://openalex.org/W2115561360,hypersonic flight laboratory,keyword
34,https://openalex.org/W2115561360,igla,keyword
35,https://openalex.org/W2115561360,complex investigation,keyword
36,https://openalex.org/W4205735414,Pourya Seyedmatin,author
37,https://openalex.org/W4205735414,"Tarbiat Modares University of Tehran, Tehran, Iran",institution
38,https://openalex.org/W4205735414,IR,country
39,https://openalex.org/W4205735414,Mohammad Ebadollahi,author
40,https://openalex.org/W4205735414,"Khajeh Nasir Toosi University of Technology, Tehran, Iran",institution
42,https://openalex.org/W4205735414,Mojtaba Bezaatpour,author
43,https://openalex.org/W4205735414,"Sahand University of Technology, Tabriz, Iran",institution
45,https://openalex.org/W4205735414,Majid Amidpour,author
48,https://openalex.org/W4205735414,hydrogen,keyword
49,https://openalex.org/W4205735414,multi-stage,keyword
50,https://openalex.org/W2810573212,Wei Huang,author
51,https://openalex.org/W2810573212,"Science and Technology on Scramjet Laboratory, National University of Defense Technology, Changsha, Hunan, 410073, People's Republic of China",institution
52,https://openalex.org/W2810573212,CN,country
53,https://openalex.org/W2810573212,Zhao-bo Du,author
56,https://openalex.org/W2810573212,Li Yan,author
59,https://openalex.org/W2810573212,R. Moradi,author
60,https://openalex.org/W2810573212,"Department of Chemical Engineering, School of Engineering & Applied Science, Khazar University, Baku, Azerbaijan",institution
61,https://openalex.org/W2810573212,AZ,country
62,https://openalex.org/W2810573212,flame propagation,keyword
63,https://openalex.org/W2810573212,dual-mode,keyword
64,https://openalex.org/W2947743645,Wei Huang,author
65,https://openalex.org/W2947743645,"College of Aerospace Science and Engineering, National University of Defense Technology, Changsha, Hunan, 410073, People's Republic of China",institution
66,https://openalex.org/W2947743645,CN,country
67,https://openalex.org/W2947743645,Zhao-bo Du,author
70,https://openalex.org/W2947743645,Li Yan,author
73,https://openalex.org/W2947743645,Zhi-xun Xia,author
