,paper_id,target,type
0,https://openalex.org/W2286178401,Ahmad Atieh,author
1,https://openalex.org/W2286178401,"Electrical Engineering Department, The University of Jordan, Amman, Jordan",institution
2,https://openalex.org/W2286178401,JO,country
3,https://openalex.org/W2286178401,Samir Al Shariff,author
4,https://openalex.org/W2286178401,"Electrical Engineering Department, Taibah University, Medina, Saudi Arabia",institution
5,https://openalex.org/W2286178401,SA,country
6,https://openalex.org/W2286178401,Naseer Ahmed,author
7,https://openalex.org/W2286178401,"Mechanical Engineering Department, CECOS University, Peshawar, Pakistan",institution
8,https://openalex.org/W2286178401,PK,country
9,https://openalex.org/W2286178401,tunnel,keyword
10,https://openalex.org/W2286178401,wind,keyword
11,https://openalex.org/W2286178401,novel,keyword
12,https://openalex.org/W3000533390,M. Anbarsooz,author
13,https://openalex.org/W3000533390,"Department of Mechanical Engineering, Quchan University of Technology, Quchan, Iran",institution
14,https://openalex.org/W3000533390,IR,country
15,https://openalex.org/W3000533390,wind dams,keyword
16,https://openalex.org/W3000533390,wind potential,keyword
17,https://openalex.org/W3000533390,numerical study,keyword
18,https://openalex.org/W4362483735,Haziq Idraki Shahidin,author
19,https://openalex.org/W4362483735,,institution
20,https://openalex.org/W4362483735,Mohd Rosdzimin Abdul Rahman,author
22,https://openalex.org/W4362483735,Azam Che Idris,author
24,https://openalex.org/W4362483735,Mohd Rashdan Saad,author
26,https://openalex.org/W4362483735,wind tunnel experiments,keyword
27,https://openalex.org/W4362483735,3d printed models,keyword
28,https://openalex.org/W4362483735,aerodynamic performance,keyword
29,https://openalex.org/W2062477095,M. Abbaspour,author
30,https://openalex.org/W2062477095,"Department of Mechanical Engineering, Sharif University of Technology and Graduate School of the Environment and Energy, Tehran, Iran",institution
31,https://openalex.org/W2062477095,IR,country
32,https://openalex.org/W2062477095,M. N. Shojaee,author
33,https://openalex.org/W2062477095,"Department of Environmental Engineering, Graduate School of the Environment and Energy, Tehran, Iran",institution
35,https://openalex.org/W2062477095,wind tunnel,keyword
36,https://openalex.org/W3049644507,Abbas Miri,author
37,https://openalex.org/W3049644507,"Department of Watershed and Range Management, Faculty of Water and Soil, University of Zabol, Zabol, Iran",institution
38,https://openalex.org/W3049644507,IR,country
39,https://openalex.org/W3049644507,Deirdre Dragovich,author
40,https://openalex.org/W3049644507,"School of Geosciences F09, University of Sydney, Sydney, NSW 2006, Australia",institution
41,https://openalex.org/W3049644507,AU,country
42,https://openalex.org/W3049644507,Zhibao Dong,author
43,https://openalex.org/W3049644507,"School of Geography and Tourism, Shaanxi Normal University 620, Shaanxi Province 710119, China",institution
44,https://openalex.org/W3049644507,CN,country
45,https://openalex.org/W3049644507,wind tunnel,keyword
46,https://openalex.org/W3049644507,wind flow,keyword
47,https://openalex.org/W3049644507,sediment flux profiles,keyword
48,https://openalex.org/W3049644507,field-scale,keyword
49,https://openalex.org/W3154117456,A. Raza,author
