abstract,creation_time,channel_name,platform_type,id,summary
"מבזקן 12בית המשפט העליון קיבל את עמדת הפרקליטות עונשו של ראמי שאמי, שהורשע בעבירה של מגע עם סוכן חוץ והחמיר את עונשו. שאמי פעל להברחת סמים וכלי נשק דרך לבנון וירדן, ועבד מול תושב לבנון שמשתייך לארגון חיזבאללה. הפרקליטות ערערה על 3 וחצי שנות המאסר שנגזרו עליו בטענה כי אין זה משקף את החומרה שבביצוע עבירה שבבסיסה סיכון לפגיעה בביטחון המדינה. בעליון קיבלו את עמדת המדינה ושאמי ייכנס לכלא ל-6 שנים@N12chat",2024-01-28 09:40:19+00:00,N12chat,telegram,0,"מבזקן 12בית המשפט העליון קיבל את עמדת הפרקליטות עונשו של ראמי שאמי, שהורשע בעבירה של מגע עם סוכן חוץ והחמיר את עונשו. שאמי פעל להברחת סמים וכלי נשק דרך לבנון וירדן, ועבד מול תושב לבנון שמשתייך לארגון חיזבאללה. הפרקליטות ערערה על 3 וחצי שנות המאסר שנגזרו עליו בטענה כי אין זה משקף את החומרה שבביצוע עבירה שבבסיסה סיכון לפגיעה בביטחון המדינה. בעליון קיבלו את עמדת המדינה ושאמי ייכנס לכלא ל-6 שנים@N12chat"
"דפנה ליאלפגישת העדכון של נתניהו ולפיד נדחתה היום ״מנימוקי לו""ז״ של ראש הממשלה נתניהו, על רקע אמירתו של לפיד שהוא מוכן להיכנס לממשלה@N12chat",2024-02-01 10:58:30+00:00,N12chat,telegram,1,"דפנה ליאלפגישת העדכון של נתניהו ולפיד נדחתה היום ״מנימוקי לו""ז״ של ראש הממשלה נתניהו, על רקע אמירתו של לפיד שהוא מוכן להיכנס לממשלה@N12chat"
"דרום לבנון: כלי תקשורת לבנוניים מדווחים על פינוי פצועים לבית החולים בצור בעקבות תקיפת צה""ל בכפר יארין.",2023-12-15 11:45:08+00:00,abualiexpress,telegram,2,"דרום לבנון: כלי תקשורת לבנוניים מדווחים על פינוי פצועים לבית החולים בצור בעקבות תקיפת צה""ל בכפר יארין."
"מבזקן 12שר האוצר בצלאל סמוטריץ׳ בירך על אישור תקציב המדינה ל-2023: זהו תקציב טוב ונצרך בעת הזו, תקציב שמעניק לחזית ולעורף מרווח נשימה ארוך כדי להביא ניצחון@N12chat",2023-12-14 11:51:02+00:00,N12chat,telegram,3,"מבזקן 12שר האוצר בצלאל סמוטריץ׳ בירך על אישור תקציב המדינה ל-2023: זהו תקציב טוב ונצרך בעת הזו, תקציב שמעניק לחזית ולעורף מרווח נשימה ארוך כדי להביא ניצחון@N12chat"
"מבזקן 12חה""כ אביגדור ליברמן בתגובה לאישור התקציב: ""ממשלת ישראל מובילה אותנו ממחדל ביטחוני, למחדל כלכלי. בזמן שאזרחי ישראל מבינים את גודל השעה, מבינים את האתגרים הביטחוניים, הכלכליים והחברתיים עימם אנו מתמודדים כחברה וכמדינה וממשיכים לגלות אחריות ומנהיגות יום יום, הממשלה גם עכשיו ממשיכה עם פוליטיקה קטנה. התקציב שעבר היום, זה תקציב סקטוריאלי ופוליטי ששוב מוביל לקרע בעם""@N12chat",2023-12-14 11:58:56+00:00,N12chat,telegram,4,"מבזקן 12חה""כ אביגדור ליברמן בתגובה לאישור התקציב: ""ממשלת ישראל מובילה אותנו ממחדל ביטחוני, למחדל כלכלי. בזמן שאזרחי ישראל מבינים את גודל השעה, מבינים את האתגרים הביטחוניים, הכלכליים והחברתיים עימם אנו מתמודדים כחברה וכמדינה וממשיכים לגלות אחריות ומנהיגות יום יום, הממשלה גם עכשיו ממשיכה עם פוליטיקה קטנה. התקציב שעבר היום, זה תקציב סקטוריאלי ופוליטי ששוב מוביל לקרע בעם""@N12chat"
"עמית אטיאסהשחקן ג'ונתן מייג׳ורס, שכיכב בסרטים ""קריד 3"" ו""אנטמן והצרעה: קוונטומאניה"", נמצא אשם בידי חבר מושבעים בניו יורק בתקיפה ובהטרדה של בת זוגו לשעבר, גרייס ג'בארי. במרץ האחרון השחקן נעצר לאחר שהיא סבלה מפגיעות בראשה ובצווארה בדירתם, אולם מייג'ורס הכחיש את המעשים המיוחסים לו@N12chat",2023-12-18 20:45:37+00:00,N12chat,telegram,5,"עמית אטיאסהשחקן ג'ונתן מייג׳ורס, שכיכב בסרטים ""קריד 3"" ו""אנטמן והצרעה: קוונטומאניה"", נמצא אשם בידי חבר מושבעים בניו יורק בתקיפה ובהטרדה של בת זוגו לשעבר, גרייס ג'בארי. במרץ האחרון השחקן נעצר לאחר שהיא סבלה מפגיעות בראשה ובצווארה בדירתם, אולם מייג'ורס הכחיש את המעשים המיוחסים לו@N12chat"
ערוצים פלסטינים מדווחים על 23 הרוגים בבית משפחת משמש שהותקף הלילה במחנה הפליטים נציראת במרכז הרצועה.,2023-11-06 08:42:27+00:00,abualiexpress,telegram,6,ערוצים פלסטינים מדווחים על 23 הרוגים בבית משפחת משמש שהותקף הלילה במחנה הפליטים נציראת במרכז הרצועה.
"עמית אטיאססערת השיר הישראלי לאירוויזיון: יצרן הלהיטים רון ביטון, שכתב שורה של להיטי פופ בשנים האחרונות: ""אם איגוד השידור האירופי ביקש להחליף את המילים או לשלוח שיר חדש - זה מה שצריך לעשות"". לדבריו, צריך להשתתף בתחרות על אף הקשיים שמערימים על ישראל בצל המלחמה: ""הכותרות בעולם לא יהיו שתאגיד השידור הישראלי עומד על רגליו האחוריות, אלא שישראל נפסלה בגלל המלחמה""@N12chat",2024-02-23 11:36:01+00:00,N12chat,telegram,7,"עמית אטיאססערת השיר הישראלי לאירוויזיון: יצרן הלהיטים רון ביטון, שכתב שורה של להיטי פופ בשנים האחרונות: ""אם איגוד השידור האירופי ביקש להחליף את המילים או לשלוח שיר חדש - זה מה שצריך לעשות"". לדבריו, צריך להשתתף בתחרות על אף הקשיים שמערימים על ישראל בצל המלחמה: ""הכותרות בעולם לא יהיו שתאגיד השידור הישראלי עומד על רגליו האחוריות, אלא שישראל נפסלה בגלל המלחמה""@N12chat"
"ליאור באקאלו📝אגף הכלכלן הראשי באוצר מציג נתונים על השפעת המלחמה על שוק העבודה בדצמבר: נמשכת מגמת הירידה בשיעור הנעדרים ממקום עבודתם, כאשר בחודש זה נעדרו כ-285 אלף מועסקים (7%) בשל כלל הסיבות הקשורות למלחמה. 132 אלף נעדרו בשל צמצום פעילות העסקים וכ-150 אלף עקב גיוס למילואים@N12chat",2024-01-17 11:51:58+00:00,N12chat,telegram,8,"ליאור באקאלו📝אגף הכלכלן הראשי באוצר מציג נתונים על השפעת המלחמה על שוק העבודה בדצמבר: נמשכת מגמת הירידה בשיעור הנעדרים ממקום עבודתם, כאשר בחודש זה נעדרו כ-285 אלף מועסקים (7%) בשל כלל הסיבות הקשורות למלחמה. 132 אלף נעדרו בשל צמצום פעילות העסקים וכ-150 אלף עקב גיוס למילואים@N12chat"
"אור רבידמאות הגיעו להלווייתו של סימון שלומוב, לוחם צנחנים שנפל בעזה. בין הנוכחים: השר אופיר סופר, ח""כ עמית הלוי וראש עיריית ראשון לציון קינסטליך@N12chat",2024-02-22 10:30:41+00:00,N12chat,telegram,9,"אור רבידמאות הגיעו להלווייתו של סימון שלומוב, לוחם צנחנים שנפל בעזה. בין הנוכחים: השר אופיר סופר, ח""כ עמית הלוי וראש עיריית ראשון לציון קינסטליך@N12chat"
