id,abstract,label,text_label,summary
0,"SWEDEN REVISES DOWN JANUARY'S INFLATION FIGURE
  Sweden's rate of inflation during
  January has been revised downwards after a fault was made in
  calculating the figures, the Central Bureau of Statistics said.
      The January rise in consumer prices was 1.0 pct instead of
  the previously announced 1.3 pct, the bureau said, without
  explaining how the error arose.
      Consumer prices in February rose 0.3 pct compared with 0.1
  pct in February last year, the bureau said. The total inflation
  rate so far this year is therefore 1.3 pct, allowing for
  January's revised figures, it added.
      Year-on-year inflation rose to 3.4 pct in February, against
  a revised 3.2 pct in January and a year-on-year rate of 5.3 pct
  in February 1986, the bureau said.
      The slowdown in price rises was mainly due to a government
  imposed price freeze which came into force on February 4, the
  bureau added.
  

",[9],['cpi'],"SWEDEN REVISES DOWN JANUARY'S INFLATION FIGURE
  Sweden's rate of inflation during
  January has been revised downwards after a fault was made in
  calculating the figures, the Central Bureau of Statistics said.
      The January rise in consumer prices was 1.0 pct instead of
  the previously announced 1.3 pct, the bureau said, without
  explaining how the error arose.
      Consumer prices in February rose 0.3 pct compared with 0.1
  pct in February last year, the bureau said. The total inflation
  rate so far this year is therefore 1.3 pct, allowing for
  January's revised figures, it added.
      Year-on-year inflation rose to 3.4 pct in February, against
  a revised 3.2 pct in January and a year-on-year rate of 5.3 pct
  in February 1986, the bureau said.
      The slowdown in price rises was mainly due to a government
  imposed price freeze which came into force on February 4, the
  bureau added.
  

"
1,"QUARTZ ENGINEERING AND MATERIALS &lt;QRTZ> 1ST QTR
  Qtr ended Dec 31
      Shr nil vs nil
      Net loss 59,922 vs loss 357,203
      Revs 714,263 vs 926,964
  

",[41],['earn'],"QUARTZ ENGINEERING AND MATERIALS &lt;QRTZ> 1ST QTR
  Qtr ended Dec 31
      Shr nil vs nil
      Net loss 59,922 vs loss 357,203
      Revs 714,263 vs 926,964
  

"
2,"IEA FORECASTS SLOWER GROWTH IN OECD OIL DEMAND
  Growth in oil consumption in the Western
  industrialized countries is likely to slow to around one pct
  this year compared with 2.3 pct in 1986, the International
  Energy Agency said.
      Oil use in the 24 member countries of the Organization for
  Economic Cooperation and Development (OECD) increased by around
  one pct in the first quarter of 1987 to 35.9 mln barrels a day,
  the IEA said in its latest monthly report.
      Growth in OECD countries is expected to come primarily from
  transport fuels, as was the case in 1986. But if average
  consumer prices are higher than 1986, the rate of growth for
  these fuels may be below last year's 3.6 pct.
      The IEA said assuming crude and product prices remain nar
  current levels, some destocking by end-users can be expected.
      If that takes place, natural gas will also regain some of
  the market share it lost to heavy fuel in 1986, it said.
      IEA estimates on April one put oil stocks held in the OECD
  area at 428 mln tonnes, or 98 days of forward consumption. This
  is about the same as at the begining of the year.
      The agency said this flat trend is explained by the
  projected seasonal consumption decline in the second quarter of
  the year which offset a reduction in stocks.
      Company stocks on land in the OECD rose to 326 mln tonnes
  on April one this year compared with 316 mln tonnes in calender
  1986 while governments also built up their strategic stocks to
  102 mln tonnes against 97 mln in 1986.
      The year-on-year trend of government stock building is
  continuing with company stocks rising, more or less in line
  with consumption, after declining for five years, IEA said.
      Oil stocks on land in the United States and Canada were put
  at 206.6 mln tonnes down from the 214 mln tonnes on January one
  and equivalent to 94 and 98 days of consumption, respectively.
      Oil stocks in Western Europe were 147.4 mln tonnes, down
  from the 154 mln tonnes on January one but still equivalent to
  94 days of consumption.
      The IEA said that initial estimates indicate that company
  stocks fell by 1.2 mln bpd in OECD countries in the first
  quarter of the year. This followed a small rise in January of
  400,000 bpd but a decline of 1.5 bpd in February and 2.5 bpd in
  March.
      And it is possible that final data will show a larger draw,
  particulary for March, it said.
      As crude production also fell, there is likely to have also
  been a decline in non-reported stocks, particularly at sea, the
  IEA said.
      World oil supply fell through the first quarter by about
  two bpd to 45.2 bpd from 47.5 bpd in the last quarter of 1986.
      This drop was mostly due to a decline in OPEC crude
  production to around 15.5 bpd in February/March from 16.5 bpd
  in January and to the seasonal drop in exports from Centrally
  Planned Economies, the IEA said.
      Total OPEC oil supply totalled 17.2 bpd in the first
  quarter of 1987 compare with 19.3 bpd in the last three months
  of 1986 while supply from non-OPEC countries totalled 28 bpd as
  against 28.2 bpd in the same 1986 period.
      A drop in Saudi Arabian output to a tentatively forecast
  3.3 bpd in march from 3.6 bpd in February was the largest
  factor behind the OPEC production decline, the IEA said.
  

",[86],['crude'],"The International Energy Agency (IEA) forecasts a slower growth in oil demand within the Organization for Economic Cooperation and Development (OECD) countries, with a projected increase of around 1% in 2023 compared to 2.3% in 1986. This growth is expected to be primarily driven by transport fuels, but higher consumer prices may impact the rate of growth. The IEA also predicts that if crude and product prices remain stable, end-users may reduce their oil stocks, leading to a potential shift in market share from heavy fuel to natural gas. OECD oil stocks were estimated at 428 million tonnes in April 1987, remaining flat compared to the beginning of the year due to a projected seasonal consumption decline in the second quarter. Company and government oil stocks have increased, with company stocks rising in line with consumption after a five-year decline. World oil supply decreased in the first quarter of 1987, mainly due to a drop in OPEC crude production and seasonal factors in Centrally Planned Economies. The largest contributor to the OPEC production decline was a decrease in Saudi Arabian output."
3,"PL 480 COMMODITIES FOR HONDURAS -- USDA
  The United States has signed a
  Public Law 480 agreement with Honduras to provide for the sale
  of 12.0 mln dlrs worth of U.S. agricultural commodities, the
  U.S. Agriculture Department said.
      The agreement, signed March 11, provides for the sale of
  about 75,000 tonnes of wheat/wheat flour worth 8.5 mln dlrs,
  15,000 tonnes of corn/sorghum worth 1.5 mln dlrs and 6,000
  tonnes of tallow worth 2.0 mln dlrs, the department said.
      The commodities will be supplied in the current fiscal
  year, ending September 30, and sales will be by private U.S.
  traders on a competitive bid basis.
      Purchase authorizations will be announced as issued.
  

","[29, 64, 19, 39]","['sorghum', 'corn', 'wheat', 'grain']","PL 480 COMMODITIES FOR HONDURAS -- USDA
  The United States has signed a
  Public Law 480 agreement with Honduras to provide for the sale
  of 12.0 mln dlrs worth of U.S. agricultural commodities, the
  U.S. Agriculture Department said.
      The agreement, signed March 11, provides for the sale of
  about 75,000 tonnes of wheat/wheat flour worth 8.5 mln dlrs,
  15,000 tonnes of corn/sorghum worth 1.5 mln dlrs and 6,000
  tonnes of tallow worth 2.0 mln dlrs, the department said.
      The commodities will be supplied in the current fiscal
  year, ending September 30, and sales will be by private U.S.
  traders on a competitive bid basis.
      Purchase authorizations will be announced as issued.
  

"
4,"FRENCH OFFICIAL RESERVES FALL SHARPLY IN JANUARY
  French official reserves fell 45.06
  billion francs to 375.95 billion at the end of January from
  421.00 billion at the end of December, the Finance Ministry
  said in a statement.
      It said the fall was largely due to sales of foreign
  currency that preceded the January 11 realignment of the
  European Monetary System (EMS).
      Foreign currency reserves fell by 8.91 billion francs
  during the month, the ministry said.
      This reflected outflows of 10.26 billion francs through
  operations of the French exchange stabilisation fund,
  counterbalanced by a gain of 1.35 billion francs resulting from
  the quarterly adjustment in the value of dollar deposits held
  with the European Monetary Cooperation Fund (FECOM).
      But most of the decline reflected a 33.90 billion franc
  deficit that France built up during the month with FECOM as a
  result of using very short-term financing instruments.
      The Bank of France, in conjunction with the Bundesbank and
  other central banks, intervened heavily in foreign exchange
  markets between late December and the January 11 EMS accord, in
  an attempt to hold down the mark, which was attracting a flight
  of funds from the dollar, and simultaneously shore up the
  franc.
      On January 11, the mark was revalued by three pct against
  the French franc, relieving pressure on the French currency.
      The fall in foreign exchange reserves took these reserves
  to 98.83 billion francs at the end of January from 107.74
  billion at end December.
      Gold reserves were unchanged at 218.45 billion francs.
      Reserves of European Currency Units fell to 73.25 billion
  francs from 75.27 billion at end December.
      Claims on the International Monetary Fund fell 219 mln
  francs to 19.31 billion francs.
  

",[5],['reserves'],"French official reserves experienced a significant drop in January, decreasing by 45.06 billion francs, primarily due to foreign currency sales before the European Monetary System realignment. The decline was mainly attributed to a 33.90 billion franc deficit with the European Monetary Cooperation Fund, resulting from short-term financing instruments used by France. The Bank of France, along with other central banks, intervened in foreign exchange markets to support the franc and stabilize the mark, which led to a decrease in foreign currency reserves. This intervention culminated in the revaluation of the mark against the French franc on January 11th, easing pressure on the French currency. The reserves ended the month at 375.95 billion francs, with foreign exchange reserves at 98.83 billion francs and gold reserves unchanged at 218.45 billion francs."
5,"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES
  A total 102,350 tonnes of current series
  white sugar received export rebates of a maximum 46.864
  European Currency Units (Ecus) per 100 kilos at today's
  European Community (EC) tender, the U.K. Intervention Board
  said.
      Out of this, traders in France received 31,000 tonnes, in
  West Germany 21,000, in Belgium 19,050, in the U.K. 15,800, in
  Denmark 8,500, in the Netherlands 6,000 and in Spain 1,000
  tonnes, it added.
      Earlier today, London traders had expected the subsidy for
  the current season whites campaign for licences to end-Sep to
  be around 46.80 Ecus per 100 kilos while French traders had put
  the rebate at around 46.40 Ecus.
      Traders here had also forecast today's total authorised
  sugar tonnage export awards up to 100,000 tonnes versus 59,000
  last week when the restitution was 45.678 Ecus.
      Total export authorisations for the 1985/86 campaign (42
   weeks) now stand at 2,076,620 tonnes.
  

",[0],['sugar'],"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES
  A total 102,350 tonnes of current series
  white sugar received export rebates of a maximum 46.864
  European Currency Units (Ecus) per 100 kilos at today's
  European Community (EC) tender, the U.K. Intervention Board
  said.
      Out of this, traders in France received 31,000 tonnes, in
  West Germany 21,000, in Belgium 19,050, in the U.K. 15,800, in
  Denmark 8,500, in the Netherlands 6,000 and in Spain 1,000
  tonnes, it added.
      Earlier today, London traders had expected the subsidy for
  the current season whites campaign for licences to end-Sep to
  be around 46.80 Ecus per 100 kilos while French traders had put
  the rebate at around 46.40 Ecus.
      Traders here had also forecast today's total authorised
  sugar tonnage export awards up to 100,000 tonnes versus 59,000
  last week when the restitution was 45.678 Ecus.
      Total export authorisations for the 1985/86 campaign (42
   weeks) now stand at 2,076,620 tonnes.
  

"
6,"U.K. MONEY MARKET DEFICIT REVISED UPWARD
  The Bank of England said it has revised
  its estimate of today's shortfall to 750 mln stg from 700 mln.
  

",[51],['money-fx'],"U.K. MONEY MARKET DEFICIT REVISED UPWARD
  The Bank of England said it has revised
  its estimate of today's shortfall to 750 mln stg from 700 mln.
  

"
7,"PHILADELPHIA SUBURBAN &lt;PSC> BUYS SOFTWARE FIRM
  Philadelphia Suburban Corp said
  it acquired Mentor Systems Inc, a Lexington, Ky., computer
  software company, for common stock.
      Detailed terms were not disclosed.
      Mentor specializes in public sector accounting systems. It
  has 73 employees at its Lexington facility, four branch offices
  in the Midwest and one in New York.
  

",[3],['acq'],"PHILADELPHIA SUBURBAN &lt;PSC> BUYS SOFTWARE FIRM
  Philadelphia Suburban Corp said
  it acquired Mentor Systems Inc, a Lexington, Ky., computer
  software company, for common stock.
      Detailed terms were not disclosed.
      Mentor specializes in public sector accounting systems. It
  has 73 employees at its Lexington facility, four branch offices
  in the Midwest and one in New York.
  

"
8,"INVESTMENT FIRM HAS 7.1 PCT OF CYCLOPS &lt;CYL&lt;
  Halcyon Investments, a New York risk
  arbitrage and securities dealing partnership, told the
  Securities and Exchange Commission it has acquired 288,000
  shares of Cyclops Corp, or 7.1 pct of the total outstanding.
      Halcyon said it bought the stake for 26.1 mln dlrs as part
  of its ordinary risk arbitrage and securities trading business.
  Other than that, the firm said there was no specific purpose in
  its purchases.
      Halcyon said it might buy more stock or sell some or all of
  its current stake. It said it bought the bulk of its stake
  between Feb 6 and March 13.
  

",[3],['acq'],"INVESTMENT FIRM HAS 7.1 PCT OF CYCLOPS &lt;CYL&lt;
  Halcyon Investments, a New York risk
  arbitrage and securities dealing partnership, told the
  Securities and Exchange Commission it has acquired 288,000
  shares of Cyclops Corp, or 7.1 pct of the total outstanding.
      Halcyon said it bought the stake for 26.1 mln dlrs as part
  of its ordinary risk arbitrage and securities trading business.
  Other than that, the firm said there was no specific purpose in
  its purchases.
      Halcyon said it might buy more stock or sell some or all of
  its current stake. It said it bought the bulk of its stake
  between Feb 6 and March 13.
  

"
9,"FED EXPECTED TO ADD TEMPORARY RESERVES
  The Federal Reserve is expected to
  enter the U.S. Government securities market to add temporary
  reserves, economists said.
      They expect it to supply the reserves indirectly by
  arranging around 1.5 of customer repurchase agreements.
      Federal funds, which averaged 6.22 pct yesterday, opened at
  six pct and remained there in early trading.
  

","[32, 51]","['interest', 'money-fx']","FED EXPECTED TO ADD TEMPORARY RESERVES
  The Federal Reserve is expected to
  enter the U.S. Government securities market to add temporary
  reserves, economists said.
      They expect it to supply the reserves indirectly by
  arranging around 1.5 of customer repurchase agreements.
      Federal funds, which averaged 6.22 pct yesterday, opened at
  six pct and remained there in early trading.
  

"
